time,vx,vy,vz,px,py,pz
7.28541,-0.9552388478384878,0.847992853962104,-0.1807383325154297,0.0,0.0,0.0
7.28604,-0.9551126381725823,0.8478244694967314,-0.18070049910593894,-0.0006017209620488514,0.0005341294157830514,-0.0001138413144367651
7.286666,-0.954980206564053,0.8476458406355022,-0.1806612534255961,-0.0011995385713583875,0.0010647557120212652,-0.0002269352590812713
7.287293,-0.9548461565883691,0.8474635486082821,-0.1806133390196684,-0.001798227111539019,0.0015961153569984134,-0.0003401798226465512
7.287918,-0.9547137046663909,0.8472875123740538,-0.18055335545466178,-0.0023949231769558187,0.002125670052232468,-0.00045302566980577255
7.288544,-0.9545843390726422,0.8471203623872414,-0.18047871285211947,-0.0029924929732148835,0.002655967399086518,-0.000566005344051122
7.289169,-0.9544660138326195,0.846962689442548,-0.18038617240312205,-0.003589034231860576,0.0031853190799883816,-0.0006787467018031309
7.289794,-0.9543588483371763,0.8468113461376696,-0.1802728850073242,-0.004185508512070769,0.0037145761713239436,-0.000791417254932606
7.290421,-0.9542640737352407,0.8466595757276831,-0.18013699023207777,-0.004783832086303337,0.004245431725305709,-0.0009043631478082267
7.291047,-0.954178559700131,0.8465057413146138,-0.1799797058172602,-0.00538114786467521,0.004775344319368294,-0.0010170304436497545
7.291672,-0.954096894627497,0.8463539933118923,-0.17980614665076886,-0.005977458423817701,0.005304315565188497,-0.0011294092853065426
7.292298,-0.9540174325076215,0.8462055452027633,-0.17961923814169006,-0.006574673336567063,0.005834040236485065,-0.0012418509283831636
7.292924,-0.9539335277789225,0.8460622876039221,-0.17942462940796866,-0.007171835724957107,0.0063636752285255085,-0.0013541707463926344
7.293549,-0.9538394171465924,0.8459216838690616,-0.17922925972057147,-0.007767985360673185,0.006892376280943191,-0.0014661890337178897
7.294174,-0.9537309079273261,0.845783550758834,-0.17903803991995365,-0.008364067178128069,0.007420991000167733,-0.001578087808667918
7.294801,-0.9536104295587988,0.8456478193438782,-0.17885331650910938,-0.00896198091746116,0.0079512121828961,-0.0016902288381190778
7.295426,-0.9534780325920994,0.8455138693667835,-0.1786772668058426,-0.009557904687831527,0.00847965835125061,-0.0018019021298727865
7.296053,-0.9533354079517637,0.8453842931221354,-0.17851399773254215,-0.010155645988617007,0.009009714303037944,-0.0019138304064510389
7.296678,-0.9531818436080544,0.8452658414373238,-0.1783685817983899,-0.010751384640872346,0.009538005453936542,-0.0020253107700750894
7.297303,-0.9530189880934815,0.8451627481203307,-0.17824061515880382,-0.011347021508431077,0.010066232171512018,-0.002136711154549399
7.297929,-0.9528523624784709,0.8450685537870691,-0.1781270769440846,-0.011943507087342192,0.010595245086182361,-0.0022482187047163193
7.298554,-0.9526827021013728,0.8449808245697191,-0.17802462848468983,-0.012538933776155854,0.011123358101538706,-0.0023594840975193075
7.29918,-0.9525127784485047,0.8448963038669246,-0.17793076638608987,-0.013135206775464208,0.011652263187759039,-0.0024708687572769237
7.299807,-0.9523462338047588,0.844811198682313,-0.17784248780779124,-0.013732327864060362,0.012181959809333355,-0.0025823759971325155
7.300432,-0.952185050298261,0.8447218728865663,-0.17775981357783685,-0.014327443520496233,0.012709910979886978,-0.0026934758806185623
