time,type,distance
98.371077,U,98.69
98.413339,R,89.70
98.454709,L,70.26
98.497814,U,96.06
98.539993,R,84.60
98.581442,L,70.23
98.624483,U,96.09
98.666644,R,84.72
98.708084,L,70.24
98.751159,U,96.16
98.793354,R,84.57
98.834787,L,70.21
98.877856,U,96.09
98.920008,R,84.62
98.961525,L,70.31
99.004592,U,96.09
99.046778,R,84.53
99.088295,L,70.23
99.131349,U,96.08
99.173416,R,82.05
99.214873,L,67.70
99.300094,R,82.10
99.257990,U,96.13
99.341551,L,67.70
99.384681,U,96.06
99.426813,R,82.06
99.468502,L,75.38
99.511435,U,96.08
99.553452,R,79.57
99.595435,L,82.91
99.638134,U,96.09
99.685582,R,268.17
99.721952,L,77.93
99.764728,U,93.54
99.806803,R,79.57
99.848490,L,72.75
99.891500,U,96.08
99.933503,R,79.57
99.975058,L,67.84
100.018175,U,96.04
100.060248,R,82.08
100.101837,L,70.19
100.144935,U,96.06
100.187052,R,82.15
100.228608,L,70.33
100.271629,U,93.64
100.313789,R,82.05
100.355312,L,70.14
100.398271,U,93.50
100.440511,R,84.59
100.481956,L,70.26
100.524945,U,93.50
100.567192,R,84.57
100.608666,L,70.21
100.651681,U,93.50
100.693932,R,84.57
100.735407,L,70.24
100.778381,U,93.52
100.820592,R,84.57
100.862093,L,70.35
100.905118,U,93.57
100.947245,R,79.59
100.988967,L,72.87
101.031869,U,93.50
101.074025,R,82.10
101.115627,L,72.75
101.158658,U,98.60
101.200635,R,79.56
101.242375,L,72.73
101.285299,U,93.49
101.327319,R,77.03
101.369164,L,75.31
101.412096,U,96.25
101.453982,R,74.65
101.495916,L,75.39
101.538821,U,96.04
101.580752,R,77.02
101.622601,L,75.27
101.665493,U,96.06
101.707489,R,77.19
101.749290,L,75.27
101.792251,U,96.04
101.834218,R,77.05
101.876092,L,75.31
101.919011,U,96.08
101.960981,R,77.03
102.002789,L,72.73
102.045766,U,96.09
102.087818,R,79.70
102.129497,L,72.75
102.172459,U,96.09
102.214615,R,84.59
102.256086,L,70.24
102.299131,U,96.15
102.341298,R,84.60
102.382702,L,67.72
102.425886,U,96.04
102.468168,R,87.09
102.509610,L,72.77
102.552645,U,96.11
102.594847,R,84.69
102.636575,L,80.42
102.679271,U,93.50
102.721451,R,82.06
102.763217,L,77.80
102.805944,U,93.52
102.848383,R,89.60
102.889753,L,72.85
102.932635,U,90.96
102.975171,R,92.14
103.016338,L,67.69
103.059298,U,90.96
103.101757,R,89.63
103.143176,L,72.92
103.186063,U,90.96
103.228408,R,84.62
103.269914,L,72.73
103.312765,U,90.96
103.354910,R,79.63
103.396525,L,70.23
103.439543,U,93.69
103.481760,R,84.60
103.523266,L,70.23
103.566244,U,93.50
103.608528,R,84.60
103.650047,L,70.23
103.692999,U,93.52
103.735277,R,84.60
103.776734,L,70.26
103.819728,U,93.57
103.861929,R,84.69
103.903390,L,70.21
103.946425,U,93.54
103.988676,R,84.60
104.030096,L,67.67
104.073158,U,93.52
104.115387,R,84.66
104.156754,L,67.79
104.199803,U,93.54
104.242013,R,84.55
104.283636,L,75.32
104.326445,U,93.49
104.368726,R,84.59
104.410589,L,82.89
104.453268,U,93.62
104.495596,R,87.09
104.537166,L,75.29
104.580027,U,93.49
104.663627,L,67.76
104.622310,R,86.97
104.706674,U,93.49
104.748952,R,87.13
104.790205,L,65.23
104.833449,U,96.06
104.875691,R,87.07
104.917017,L,67.69
104.960078,U,93.62
105.002296,R,84.60
105.043714,L,67.65
105.086769,U,93.54
105.128930,R,82.08
105.170443,L,70.24
105.213365,U,90.93
105.255639,R,82.13
105.297224,L,70.24
105.340148,U,90.98
105.382402,R,82.06
105.423972,L,70.24
105.466909,U,90.96
105.509195,R,82.06
105.550749,L,70.24
105.593633,U,91.01
105.635952,R,84.57
105.677366,L,67.65
105.720370,U,90.96
105.762665,R,84.71
105.804024,L,67.81
105.847018,U,90.95
105.889350,R,84.59
105.930734,L,67.69
105.973716,U,90.96
106.016064,R,84.57
106.057422,L,67.76
106.100417,U,91.01
106.142752,R,84.59
106.184137,L,67.67
106.227119,U,90.95
106.269440,R,84.64
106.310850,L,67.79
106.353886,U,90.95
106.396248,R,87.07
106.437555,L,67.65
106.480535,U,91.00
106.522935,R,87.11
106.564269,L,67.69
106.649735,R,87.16
106.607302,U,91.10
106.691074,L,67.69
106.734105,U,93.49
106.776447,R,87.13
106.817789,L,67.70
106.860815,U,93.55
106.903052,R,84.60
106.944415,L,67.65
106.987384,U,90.98
107.029674,R,84.67
