time,gyro x,gyro y,gyro z,accel x,accel y,accel z
49.698140,1.889137268,-4.461692810,0.616683960,0.066600218,0.165263548,1.022431850
49.736439,3.651527405,11.338783264,-6.112442017,0.049144164,0.109599486,0.984345913
49.750724,2.018836975,9.431434631,-4.464492798,0.010081664,0.100566283,0.991303921
49.766067,1.873878479,6.745887756,-3.259048462,0.008372679,0.101664916,1.002778530
49.804391,5.131629944,2.152992249,0.624313354,0.029246703,0.106791869,0.986787319
49.842666,0.523475647,11.865211487,-2.259597778,0.036204711,0.089091673,0.939546108
49.856953,0.859169006,12.330604553,-1.923904419,0.030101195,0.091044798,0.944673061
49.872287,1.576332092,9.568763733,-0.077590942,0.011302367,0.087504759,0.946382046
49.910597,0.676063538,-3.927635193,4.233016968,-0.001392946,0.076274291,0.949189663
49.948882,0.309852600,-12.190269470,7.673873901,0.008128539,0.105815306,0.990205288
49.963159,1.324562073,-11.473106384,8.459701538,0.008128539,0.115458861,0.981904507
49.978491,2.606300354,-7.879661560,7.887496948,0.034861937,0.111308470,0.961396694
50.016814,-0.872703552,2.297950745,6.300582886,0.054271117,0.102763548,0.951020718
50.055120,1.614479065,7.318092346,6.735458374,0.058909789,0.133036986,0.967133999
50.069414,1.606849670,11.560035706,6.994857788,0.077830687,0.116313353,0.950166225
50.084765,0.187782288,14.192176819,5.438461304,0.090648070,0.120097533,0.946015835
50.123092,-0.872703552,20.562721252,1.349105835,0.073314086,0.159282103,0.999970913
50.161377,4.269508362,10.934425354,3.370895386,0.044871703,0.141703978,0.954438686
50.175662,0.149635315,4.823280334,4.263534546,0.053782836,0.142070189,0.946259975
50.191015,-1.895042419,2.229286194,4.324569702,0.057567015,0.151957884,0.976289272
50.229328,2.545265198,-8.497642517,4.423751831,0.052195922,0.206279173,1.032929897
50.281194,-0.712486267,-10.260032654,2.844467163,0.051341429,0.156474486,1.019013882
50.295527,-1.048179626,-11.251853943,2.356185913,0.038646117,0.171489134,1.079682827
50.310904,0.882057190,-11.991905212,3.233566284,0.034251586,0.176249877,1.100434780
50.349232,7.107643127,-15.623497009,3.927841187,0.006907836,0.151835814,1.041352749
50.387516,3.743080139,-17.836021423,8.871688843,0.008494750,0.163432494,1.012300014
50.401829,3.735450745,-15.898155212,8.551254272,0.030833617,0.170634642,1.012422085
50.417187,5.162147522,-7.605003357,8.024826050,0.035960570,0.178691283,0.952973843
50.455485,-5.953880310,19.876075745,3.340377808,0.084788695,0.077739134,0.854951382
50.493777,-1.429649353,30.679298401,4.713668823,0.050975218,0.145610228,0.898042202
50.523058,0.164894104,30.938697815,2.379074097,0.070506468,0.094096556,0.806245327
50.537361,-7.243247986,25.979591370,2.096786499,0.031077757,0.017558470,0.847871304
50.575547,-2.230735779,-0.151084900,2.401962280,-0.004810914,0.133647338,0.816255093
50.613851,-13.842674255,-22.772239685,16.363754272,0.035594359,0.043803588,0.854585171
50.628150,-11.561485291,-24.282859802,9.749069214,0.070994750,0.098979369,0.867646694
50.643539,-1.666160583,-28.303550720,1.005783081,-0.044605836,0.114238158,0.790009975
50.681877,-15.460105896,-35.467552185,20.064010620,0.007762328,0.014506713,0.814912319
50.720169,-9.234519958,-27.082847595,7.841720581,-0.022633180,0.083964720,0.865693569
50.734452,-15.223594666,-26.373313904,18.149032593,-0.024464235,0.038676634,0.867890835
50.749839,-18.664451599,-23.802207947,22.429122925,0.022166625,0.045146361,0.912812710
50.788148,-5.297752380,0.581336975,5.911483765,0.089549437,0.112162963,1.002046108
50.826447,-19.854637146,8.126808167,16.134872437,0.063548461,0.060527220,0.998628139
50.840732,-19.641014099,11.758399963,15.738143921,0.136790648,0.121928588,1.057832241
50.856131,-7.174583435,21.905494690,0.456466675,0.150462523,0.195292845,1.066865444
50.894462,-16.123863220,18.861366272,4.286422729,0.025584593,0.015239134,1.009858608
50.932759,-1.879783630,10.140968323,0.204696655,0.117747679,0.173808470,1.122285366
50.947050,2.858070374,7.165504456,-1.908645630,0.081981078,0.116191283,1.052949429
50.962410,-6.312461853,-5.117820740,3.935470581,0.040599242,-0.033466920,1.078584194
51.000688,-8.776756287,-18.812583923,11.145248413,0.139720336,0.104838744,1.225923061
51.039004,5.833534241,-19.545005798,-1.031265259,0.067942992,-0.077290162,1.037080288
51.053295,-12.042137146,-20.422386169,11.221542358,0.075023070,-0.052754030,1.127168179
51.068675,-10.676475525,-17.355369568,11.366500854,0.146556273,0.030131713,1.148652554
51.107001,12.776283264,2.976966858,-5.837783813,0.116404906,0.013774291,1.008393764
51.159231,-0.773521423,15.252662659,-2.000198364,0.118602172,0.089702025,1.111299038
51.173570,11.860755920,16.336036682,-1.489028931,0.098826781,0.069682494,1.010713100
51.188960,10.189918518,16.351295471,-1.496658325,0.097850218,0.002055541,0.956025600
51.227278,-4.801841736,17.243934631,-0.390396118,0.145579711,0.080912963,1.095185757
51.265592,13.958839417,15.039039612,-3.877029419,0.061107054,0.016581908,0.924165249
51.279880,-1.444908142,14.192176819,1.059188843,0.071116820,-0.022602662,0.971040249
51.295224,-4.077049255,14.260841370,0.021591187,0.089305297,0.049296752,1.008515835
51.333510,10.098365784,8.767677307,0.685348511,0.030955687,0.041240111,0.947846889
