time,Channel 0 (Roll),Channel 1 (Pitch),Channel 2 (Throttle),Channel 3 (Yaw),Aux 1 (Arm),Aux 2 (Angle/Horizon),Aux 3 (Failsafe)
10922,1500,1500,885,1500,1500,1200,1500
11022,1500,1500,885,1500,1500,1200,1500
11122,1500,1500,885,1500,1500,1200,1500
11222,1500,1500,885,1500,1500,1200,1500
11322,1500,1500,885,1500,1500,1200,1500
11422,1500,1500,885,1500,1500,1200,1500
11522,1500,1500,885,1500,1500,1200,1500
11622,1500,1500,885,1500,1500,1200,1500
11722,1500,1500,885,1500,1500,1200,1500
11822,1500,1500,885,1500,1500,1200,1500
11922,1500,1500,885,1500,1500,1200,1500
12022,1500,1500,885,1500,1500,1200,1500
12122,1500,1500,885,1500,1500,1200,1500
12222,1500,1500,885,1500,1500,1200,1500
12322,1500,1500,885,1500,1500,1200,1500
12422,1500,1500,885,1500,1500,1200,1500
12522,1500,1500,885,1500,1500,1200,1500
12622,1500,1500,885,1500,1500,1200,1500
12722,1500,1500,885,1500,1500,1200,1500
12822,1500,1500,885,1500,1500,1200,1500
12922,1500,1500,885,1500,1500,1200,1500
13022,1500,1500,885,1500,1500,1200,1500
13222,1500,1500,885,1500,1500,1200,1500
13322,1500,1500,885,1500,1500,1200,1500
13422,1500,1500,885,1500,1500,1200,1500
13522,1500,1500,885,1500,1500,1200,1500
13622,1500,1500,885,1500,1500,1200,1500
13722,1500,1500,885,1500,1500,1200,1500
13822,1500,1500,885,1500,1500,1200,1500
14022,1500,1500,885,1500,1500,1200,1500
14122,1500,1500,885,1500,1500,1200,1500
14222,1500,1500,885,1500,1500,1200,1500
14322,1500,1500,885,1500,1500,1200,1500
14422,1500,1500,885,1500,1500,1200,1500
14522,1500,1500,885,1500,1500,1200,1500
14622,1500,1500,885,1500,1500,1200,1500
14722,1500,1500,885,1500,1500,1200,1500
14822,1500,1500,885,1500,1500,1200,1500
14922,1500,1500,885,1500,1500,1200,1500
15022,1500,1500,885,1500,1500,1200,1500
15122,1500,1500,885,1500,1500,1200,1500
15222,1500,1500,885,1500,1500,1200,1500
15322,1500,1500,885,1500,1500,1200,1500
15422,1500,1500,885,1500,1500,1200,1500
15522,1500,1500,885,1500,1500,1200,1500
15622,1500,1500,885,1500,1500,1200,1500
15722,1500,1500,885,1500,1500,1200,1500
15822,1500,1500,885,1500,1500,1200,1500
15922,1500,1500,885,1500,1500,1200,1500
16022,1500,1500,885,1500,1500,1200,1500
16222,1500,1500,1500,1500,1500,1200,1500
16322,1500,1500,1500,1500,1500,1200,1500
16422,1500,1500,1500,1500,1500,1200,1500
16522,1500,1500,1500,1500,1500,1200,1500
16622,1500,1500,1500,1500,1500,1200,1500
16722,1500,1500,1500,1500,1500,1200,1500
16822,1500,1500,1500,1500,1500,1200,1500
17022,1500,1500,1500,1500,1500,1200,1500
17122,1500,1500,1500,1500,1500,1200,1500
17222,1500,1500,1500,1500,1500,1200,1500
17322,1500,1500,1500,1500,1500,1200,1500
17422,1500,1500,1500,1500,1500,1200,1500
17522,1500,1500,1500,1500,1500,1200,1500
17622,1500,1500,1500,1500,1500,1200,1500
17722,1500,1500,1500,1500,1500,1200,1500
17822,1500,1500,1500,1500,1500,1200,1500
17922,1500,1500,1500,1500,1500,1200,1500
18022,1500,1500,1500,1500,1500,1200,1500
18122,1500,1500,1500,1500,1500,1200,1500
18222,1500,1500,1502,1502,1500,1200,1500
18322,1500,1500,1504,1513,1500,1200,1500
18422,1500,1500,1504,1559,1500,1200,1500
18522,1500,1500,1492,1550,1500,1200,1500
18622,1500,1500,1204,2081,1500,1200,1500
18722,1500,1500,1241,2099,1500,1200,1500
18822,1500,1500,1501,1497,1500,1200,1500
18922,1500,1500,1798,919,1500,1200,1500
19122,1500,1500,1535,1726,1500,1200,1500
19222,1500,1500,1524,2115,1500,1200,1500
19322,1500,1500,2040,1893,1500,1200,1500
19422,1500,1500,2112,1228,1500,1200,1500
19522,1500,1500,2052,1117,1500,1200,1500
19622,1500,1500,885,1492,1500,1200,1500
19722,1500,1500,994,1926,1500,1200,1500
19822,1500,1500,1283,2115,1500,1200,1500
20022,1500,1500,1658,885,1500,1200,1500
20122,1500,1500,1557,885,1500,1200,1500
20222,1500,1500,1097,1060,1500,1200,1500
20322,1500,1500,1007,1940,1500,1200,1500
20422,1500,1500,1730,1907,1500,1200,1500
20522,1500,1500,1740,1093,1500,1200,1500
20622,1500,1500,1686,1015,1500,1200,1500
20722,1500,1500,1500,1500,1500,1200,1500
