time,Channel 0 (Roll),Channel 1 (Pitch),Channel 2 (Throttle),Channel 3 (Yaw),Aux 1 (Arm),Aux 2 (Angle/Horizon),Aux 3 (Failsafe)
4741,1500,1500,885,1500,1500,1200,1500
4941,1500,1500,885,1500,1500,1200,1500
5141,1500,1500,885,1500,1500,1200,1500
5341,1500,1500,885,1500,1500,1200,1500
5541,1500,1500,885,1500,1500,1200,1500
5741,1500,1500,885,1500,1500,1200,1500
5941,1500,1500,885,1500,1500,1200,1500
6141,1500,1500,885,1500,1500,1200,1500
6341,1500,1500,885,1500,1500,1200,1500
6541,1500,1500,885,1500,1500,1200,1500
6741,1500,1500,885,1500,1500,1200,1500
6941,1500,1500,885,1500,1500,1200,1500
7141,1500,1500,885,1500,1500,1200,1500
7341,1500,1500,885,1500,1500,1200,1500
7541,1500,1500,885,1500,1500,1200,1500
7741,1500,1500,885,1500,1500,1200,1500
7941,1500,1500,885,1500,1500,1200,1500
8141,1500,1500,885,1500,1500,1200,1500
8341,1500,1500,885,1500,1500,1200,1500
8541,1500,1500,885,1500,1500,1200,1500
8741,1500,1500,885,1500,1500,1200,1500
8941,1500,1500,885,1500,1500,1200,1500
9141,1500,1500,885,1500,1500,1200,1500
9341,1500,1500,885,1500,1500,1200,1500
9541,1500,1500,885,1500,1500,1200,1500
9741,1500,1500,885,1500,1500,1200,1500
9941,1500,1500,885,1500,1500,1200,1500
10141,1500,1500,885,1500,1500,1200,1500
10341,1500,1500,885,1500,1500,1200,1500
10541,1500,1500,885,1500,1500,1200,1500
10741,1500,1500,885,1500,1500,1200,1500
10941,1500,1500,885,1500,1500,1200,1500
11141,1500,1500,885,1500,1500,1200,1500
11341,1500,1500,885,1500,1500,1200,1500
11541,1500,1500,885,1500,1500,1200,1500
11741,1500,1500,885,1500,1500,1200,1500
11941,1500,1500,885,1500,1500,1200,1500
12141,1500,1500,885,1500,1500,1200,1500
12341,1500,1500,885,1500,1500,1200,1500
12541,1500,1500,1500,1500,1500,1200,1500
12741,1500,1500,1500,1500,1500,1200,1500
12941,1500,1500,1500,1500,1500,1200,1500
13141,1500,1500,1500,1500,1500,1200,1500
13341,1500,1500,1500,1500,1500,1200,1500
13541,1500,1500,1500,1500,1500,1200,1500
13741,1500,1500,1500,1500,1500,1200,1500
13941,1500,1500,1500,1500,1500,1200,1500
14141,1500,1500,1500,1500,1500,1200,1500
14341,1500,1500,1500,1500,1500,1200,1500
14541,1500,1500,1500,1500,1500,1200,1500
14741,1500,1500,1500,1500,1500,1200,1500
14941,1500,1500,1500,1500,1500,1200,1500
15141,1500,1500,1500,1500,1500,1200,1500
15341,1500,1500,1500,1500,1500,1200,1500
15741,1500,1500,1500,1500,1500,1200,1500
15941,1500,1500,1500,1500,1500,1200,1500
16141,1500,1500,1500,1500,1500,1200,1500
16341,1500,1500,1500,1500,1500,1200,1500
16541,1500,1500,1500,1500,1500,1200,1500
16741,1500,1500,1500,1500,1500,1200,1500
16941,1500,1500,1500,1500,1500,1200,1500
17341,1500,1500,1500,1500,1500,1200,1500
17541,1500,1500,1500,1500,1500,1200,1500
17741,1500,1500,1500,1500,1500,1200,1500
17941,1500,1500,1500,1500,1500,1200,1500
18141,1500,1500,1500,1500,1500,1200,1500
18341,1500,1500,1500,1500,1500,1200,1500
18541,1500,1500,1500,1500,1500,1200,1500
18741,1500,1500,1500,1500,1500,1200,1500
18941,1500,1500,1500,1500,1500,1200,1500
19141,1500,1500,1500,1500,1500,1200,1500
19341,1500,1500,1500,1500,1500,1200,1500
19541,1500,1500,1500,1500,1500,1200,1500
19741,1500,1500,1500,1500,1500,1200,1500
19941,1500,1500,1500,1500,1500,1200,1500
20141,1500,1500,1500,1500,1500,1200,1500
20341,1500,1500,1500,1500,1500,1200,1500
20541,1500,1500,1500,1500,1500,1200,1500
20741,1500,1500,1500,1500,1500,1200,1500
20941,1500,1500,1500,1500,1500,1200,1500
21141,1500,1500,1500,1500,1500,1200,1500
21341,1500,1500,1500,1500,1500,1200,1500
21541,1500,1500,1500,1500,1500,1200,1500
21741,1500,1500,1500,1500,1500,1200,1500
21941,1500,1500,1500,1500,1500,1200,1500
22141,1500,1500,1500,1500,1500,1200,1500
22341,1500,1500,1500,1500,1500,1200,1500
22541,1500,1500,1500,1500,1500,1200,1500
22741,1500,1500,1500,1500,1500,1200,1500
22941,1500,1500,1500,1500,1500,1200,1500
23141,1500,1500,1500,1500,1500,1200,1500
23341,1500,1500,1500,1500,1500,1200,1500
23541,1500,1500,1500,1500,1500,1200,1500
23741,1500,1500,1500,1500,1500,1200,1500
23941,1500,1500,1500,1500,1500,1200,1500
24141,1500,1500,1500,1500,1500,1200,1500
24341,1500,1500,1500,1500,1500,1200,1500
24541,1500,1500,1500,1500,1500,1200,1500
24741,1500,1500,1500,1500,1500,1200,1500
24941,1500,1500,1500,1500,1500,1200,1500
25141,1500,1500,1500,1500,1500,1200,1500
25341,1500,1500,1500,1500,1500,1200,1500
25541,1500,1500,1500,1500,1500,1200,1500
25741,1500,1500,1500,1500,1500,1200,1500
25941,1500,1500,1500,1500,1500,1200,1500
26141,1500,1500,1500,1500,1500,1200,1500
26341,1500,1500,1500,1500,1500,1200,1500
26541,1500,1500,1500,1500,1500,1200,1500
26741,1500,1500,1500,1500,1500,1200,1500
26941,1500,1500,1500,1500,1500,1200,1500
