time,Channel 0 (Roll),Channel 1 (Pitch),Channel 2 (Throttle),Channel 3 (Yaw),Aux 1 (Arm),Aux 2 (Angle/Horizon),Aux 3 (Failsafe)
4919,1500,1500,885,1500,1500,1200,1500
5119,1500,1500,885,1500,1500,1200,1500
5319,1500,1500,885,1500,1500,1200,1500
5519,1500,1500,885,1500,1500,1200,1500
5719,1500,1500,885,1500,1500,1200,1500
5919,1500,1500,885,1500,1500,1200,1500
6119,1500,1500,885,1500,1500,1200,1500
6319,1500,1500,885,1500,1500,1200,1500
6519,1500,1500,885,1500,1500,1200,1500
6719,1500,1500,885,1500,1500,1200,1500
6919,1500,1500,885,1500,1500,1200,1500
7119,1500,1500,885,1500,1500,1200,1500
7319,1500,1500,885,1500,1500,1200,1500
7519,1500,1500,885,1500,1500,1200,1500
7719,1500,1500,885,1500,1500,1200,1500
7919,1500,1500,885,1500,1500,1200,1500
8119,1500,1500,885,1500,1500,1200,1500
8319,1500,1500,885,1500,1500,1200,1500
8519,1500,1500,885,1500,1500,1200,1500
8719,1500,1500,885,1500,1500,1200,1500
8919,1500,1500,885,1500,1500,1200,1500
9119,1500,1500,885,1500,1500,1200,1500
9319,1500,1500,885,1500,1500,1200,1500
9519,1500,1500,885,1500,1500,1200,1500
9719,1500,1500,885,1500,1500,1200,1500
9919,1500,1500,885,1500,1500,1200,1500
10319,1500,1500,885,1500,1500,1200,1500
10519,1500,1500,885,1500,1500,1200,1500
10719,1500,1500,885,1500,1500,1200,1500
10919,1500,1500,885,1500,1500,1200,1500
11119,1500,1500,885,1500,1500,1200,1500
11319,1500,1500,885,1500,1500,1200,1500
11519,1500,1500,885,1500,1500,1200,1500
11719,1500,1500,885,1500,1500,1200,1500
12119,1500,1500,885,1500,1500,1200,1500
12319,1500,1500,885,1500,1500,1200,1500
12519,1500,1500,885,1500,1500,1200,1500
12719,1500,1500,885,1500,1500,1200,1500
12919,1500,1500,885,1500,1500,1200,1500
13119,1500,1500,885,1500,1500,1200,1500
13319,1500,1500,885,1500,1500,1200,1500
13519,1500,1500,885,1500,1500,1200,1500
13719,1500,1500,885,1500,1500,1200,1500
13919,1500,1500,885,1500,1500,1200,1500
14119,1500,1500,885,1500,1500,1200,1500
14319,1500,1500,885,1500,1500,1200,1500
14519,1500,1500,885,1500,1500,1200,1500
14719,1500,1500,885,1500,1500,1200,1500
14919,1500,1500,885,1500,1500,1200,1500
15119,1500,1500,885,1500,1500,1200,1500
15319,1500,1500,885,1500,1500,1200,1500
15519,1500,1500,885,1500,1500,1200,1500
15719,1500,1500,885,1500,1500,1200,1500
15919,1500,1500,885,1500,1500,1200,1500
16319,1500,1500,885,1500,1500,1200,1500
16519,1500,1500,885,1500,1500,1200,1500
16719,1500,1500,885,1500,1500,1200,1500
16919,1500,1500,885,1500,1500,1200,1500
17119,1500,1500,885,1500,1500,1200,1500
17319,1500,1500,1500,1500,1500,1200,1500
17519,1500,1500,1500,1500,1500,1200,1500
