time,type,distance
52.809682,L,133.78
52.820841,R,132.43
52.820909,U,111.39
52.859236,L,133.83
52.870266,R,147.52
52.870630,U,111.42
52.908765,L,133.77
52.919259,R,147.54
52.920351,U,111.37
52.958290,L,133.90
52.968247,R,147.52
52.970070,U,111.42
53.007820,L,133.97
53.017238,R,147.52
53.019792,U,111.53
53.057419,L,136.51
53.066229,R,147.52
53.069511,U,111.44
53.106946,L,136.36
53.115218,R,147.52
53.119236,U,111.34
53.156475,L,136.32
53.164135,R,144.96
53.168958,U,111.42
53.206105,L,138.90
53.213122,R,144.98
53.218683,U,111.56
53.255634,L,138.91
53.262114,R,144.93
53.268425,U,111.42
53.305266,L,141.45
53.311105,R,145.00
53.318148,U,111.42
53.354866,L,144.00
53.404396,L,144.06
53.409452,R,157.56
53.417587,U,111.44
53.453995,L,146.62
53.417594,U,111.66
53.458445,R,157.63
53.467409,U,113.98
53.503591,L,149.09
53.507432,R,157.54
53.517129,U,114.00
53.556348,R,155.04
53.559735,L,377.81
53.566885,U,114.08
53.609401,L,382.84
53.605337,R,155.05
53.616601,U,114.01
53.658994,L,385.40
53.654327,R,155.02
53.666322,U,114.03
53.708589,L,387.90
53.703320,R,155.05
53.716044,U,114.01
53.758259,L,392.97
53.752306,R,155.05
53.765767,U,114.01
53.801298,R,155.04
53.807855,L,395.51
53.815523,U,113.95
53.857444,L,398.15
53.850367,R,157.56
53.865166,U,111.46
53.899360,R,157.47
53.906453,L,380.30
53.914891,U,111.32
53.948349,R,157.47
54.005495,L,380.35
53.964611,U,111.34
53.997413,R,160.22
54.005427,L,377.99
54.014330,U,111.46
54.054949,L,377.83
54.046406,R,159.98
54.104476,L,377.80
54.095472,R,162.47
54.113703,U,108.95
54.144535,R,165.04
54.153929,L,375.24
54.163424,U,108.81
54.203453,L,375.25
54.200149,R,393.90
54.213144,U,108.86
54.302579,L,377.93
54.298126,R,393.80
54.312593,U,108.83
54.352106,L,377.88
54.353502,L,426.14
54.347124,R,393.85
54.362310,U,108.92
54.403028,L,426.04
54.396033,R,391.26
54.412034,U,108.92
54.452549,L,426.13
54.445015,R,391.20
54.461758,U,108.92
54.502075,L,426.01
54.542986,R,391.29
54.511482,U,108.92
54.551596,L,426.08
54.542987,R,391.34
54.561132,U,106.36
54.591978,R,391.26
54.650638,L,426.11
54.636450,R,235.48
54.610856,U,106.26
54.650638,L,426.11
54.660582,U,106.24
54.685362,R,233.02
54.749681,L,426.13
54.734348,R,232.99
54.710309,U,106.29
54.799208,L,426.18
54.780792,R,145.00
54.809755,U,106.29
54.799281,L,428.70
54.809758,U,106.39
54.829710,R,142.47
54.848805,L,428.65
54.859482,U,106.29
54.898331,L,428.65
54.878635,R,140.06
54.909201,U,106.36
54.927627,R,139.99
54.947858,L,428.62
54.976542,R,137.46
54.958930,U,106.29
54.996501,L,398.10
55.008650,U,106.32
55.025535,R,137.52
55.095546,L,398.12
55.074519,R,137.46
55.058373,U,106.26
55.087536,L,121.29
55.123506,R,137.48
55.108092,U,106.32
55.137062,L,121.12
55.186591,L,121.19
55.172421,R,134.89
