time,type,distance
39.912573,U,1949
39.926811,D,716
39.942247,L,X
39.980563,R,X
40.030741,U,1983
40.045017,D,796
40.060433,L,X
40.098734,R,929
40.137079,U,1963
40.151293,D,765
40.166684,L,X
40.204988,R,X
40.243296,U,1931
40.257516,D,764
40.272915,L,1055
40.311225,R,956
40.349546,U,1922
40.363776,D,793
40.37921,L,1068
40.417542,R,905
40.455892,U,1926
40.470115,D,777
40.485526,L,1076
40.523875,R,X
40.562173,U,1936
40.576394,D,746
40.591813,L,997
40.630131,R,X
40.668505,U,1946
40.682719,D,769
40.698124,L,787
40.736471,R,X
40.77477,U,1949
40.78902,D,782
40.804444,L,820
40.85556,R,X
40.893916,U,1935
40.908153,D,735
40.923567,L,809
40.961907,R,X
41.000249,U,1987
41.01449,D,748
41.029909,L,696
41.068243,R,X
41.106562,U,2009
41.132957,D,750
41.148495,L,691
41.18687,R,X
41.225175,U,1966
41.239403,D,725
41.254819,L,678
41.293117,R,X
41.331454,U,1947
41.345676,D,726
41.361096,L,644
41.399407,R,X
41.437706,U,1947
41.451931,D,744
41.46735,L,627
41.505676,R,X
41.543981,U,1912
41.558214,D,745
41.57365,L,619
41.611974,R,X
41.666178,U,1879
41.680432,D,739
41.695835,L,589
41.734165,R,X
41.772493,U,1896
41.786716,D,765
41.802111,L,597
41.840471,R,X
41.878785,U,1855
41.893024,D,798
41.908442,L,583
41.946759,R,X
41.985086,U,1850
41.999306,D,786
42.014709,L,568
42.053066,R,X
42.09138,U,1826
42.105603,D,827
42.121023,L,560
42.159354,R,714
42.197677,U,1848
42.211889,D,790
42.2273,L,553
42.265653,R,540
42.303964,U,1841
42.318195,D,834
42.3336,L,546
42.371926,R,516
42.410267,U,1858
42.453287,D,772
42.468792,L,541
42.507111,R,525
42.54546,U,1849
42.559682,D,826
42.575103,L,538
42.613436,R,526
42.651768,U,1859
42.66601,D,826
42.68144,L,554
42.719758,R,519
42.758108,U,1850
42.772335,D,808
42.787749,L,544
42.826091,R,525
42.864412,U,1830
42.878621,D,833
42.894047,L,525
42.932368,R,601
42.970708,U,1834
42.984936,D,817
43.000345,L,515
43.038689,R,787
43.077017,U,1847
43.091239,D,815
43.106662,L,526
43.144979,R,735
43.197411,U,1827
43.211645,D,785
43.227041,L,526
43.265354,R,568
43.303678,U,1806
43.317882,D,812
43.333284,L,532
43.371613,R,557
43.409938,U,1822
43.424162,D,855
43.43957,L,532
43.477903,R,528
43.516231,U,1803
43.530443,D,823
43.545846,L,542
43.584158,R,499
43.622493,U,1806
43.636701,D,876
43.652117,L,539
43.690465,R,X
43.72877,U,1810
43.758333,D,799
43.773823,L,540
43.812171,R,X
43.850507,U,1816
43.864725,D,830
43.880126,L,554
43.918498,R,X
43.97254,U,1787
43.986806,D,870
44.002206,L,553
44.040552,R,X
44.078891,U,1776
44.093105,D,827
44.108517,L,551
44.146864,R,X
44.185171,U,1777
44.19939,D,833
44.214791,L,551
44.253114,R,X
44.291458,U,1786
44.305671,D,835
44.321065,L,554
44.359378,R,X
44.397697,U,1820
44.411927,D,825
44.427321,L,562
44.465661,R,989
44.503977,U,1800
44.518211,D,842
44.533624,L,557
44.571938,R,904
44.610289,U,1767
44.624531,D,824
44.639949,L,558
44.678306,R,855
44.716652,U,1796
44.748046,D,829
44.762281,L,552
44.800556,R,889
44.838895,U,1811
44.853104,D,837
44.868525,L,553
44.906892,R,857
44.945214,U,1802
44.959444,D,804
44.974865,L,557
45.013203,R,930
45.051544,U,1812
45.081829,D,806
45.097315,L,578
45.135691,R,1041
45.174025,U,1783
45.188255,D,796
45.203672,L,579
45.241998,R,X
45.280322,U,1780
45.294565,D,817
45.31001,L,571
45.348316,R,X
45.386643,U,1802
45.400868,D,860
45.416294,L,575
45.454643,R,X
45.492969,U,1789
45.51997,D,835
45.53419,L,578
45.572462,R,X
45.610773,U,1784
45.624994,D,839
45.640418,L,574
45.678751,R,X
45.717102,U,1809
45.731335,D,853
45.746748,L,571
45.785105,R,X
45.82345,U,1798
45.837668,D,850
45.853065,L,569
45.89138,R,X
45.929678,U,1805
45.9439,D,816
45.95931,L,561
45.997656,R,X
46.035988,U,1822
46.050221,D,809
46.065636,L,547
46.103979,R,X
46.142311,U,1837
46.156544,D,814
46.171964,L,543
46.210306,R,X
46.248635,U,1827
46.262861,D,826
46.278269,L,575
46.328416,R,X
46.366784,U,1826
46.381014,D,839
46.408354,L,555
46.446763,R,X
46.485112,U,1826
46.49933,D,826
46.514731,L,544
46.553078,R,X
46.59138,U,1843
46.605596,D,744
46.621016,L,539
46.659327,R,X
46.697674,U,1831
46.711894,D,785
46.72731,L,542
46.765646,R,X
46.803955,U,1832
46.818189,D,802
46.833619,L,552
46.871945,R,X
46.910281,U,1855
46.924505,D,804
46.939936,L,552
46.978285,R,X
47.016609,U,1832
47.030835,D,804
47.046266,L,553
47.096795,R,X
47.135156,U,1872
47.149379,D,776
47.164807,L,553
47.203125,R,X
47.241482,U,1889
47.255681,D,790
47.271099,L,565
47.309428,R,X
47.347735,U,1901
47.361981,D,779
47.377425,L,557
47.415754,R,X
47.454103,U,1925
47.468318,D,757
47.483745,L,565
47.522101,R,X
47.560415,U,1935
47.574623,D,755
47.590055,L,566
47.628369,R,X
47.666688,U,1970
47.694286,D,753
47.709793,L,594
47.748145,R,X
47.786493,U,1958
47.800738,D,758
47.816178,L,627
47.854528,R,X
47.906598,U,1942
47.920852,D,747
47.936258,L,652
47.974616,R,X
48.012944,U,1941
48.027189,D,737
48.042597,L,678
48.080926,R,X
48.119267,U,1951
48.133504,D,784
48.148919,L,708
48.187267,R,X
48.241633,U,1950
48.257152,D,784
48.271361,L,778
48.309654,R,X
48.347964,U,1934
48.362206,D,764
48.37761,L,822
48.415932,R,X
48.454274,U,1945
48.468506,D,744
48.483934,L,921
48.522278,R,X
48.560598,U,1918
48.57484,D,756
48.590249,L,1007
48.628573,R,X
48.666882,U,1937
