time,type,distance
73.750598,R,82.13
73.751621,U,65.58
73.763966,L,18.63
73.799589,R,82.17
73.801044,U,55.31
73.813488,L,18.66
73.848577,R,82.17
73.850395,U,42.51
73.863011,L,18.66
73.897561,R,82.17
73.903359,U,154.74
73.912536,L,18.66
73.946547,R,82.13
73.953078,U,154.76
73.962058,L,18.61
73.995536,R,82.10
74.002798,U,154.90
74.011584,L,18.61
74.044522,R,82.15
74.052513,U,154.78
74.061107,L,18.66
74.093509,R,82.13
74.102155,U,152.24
74.110629,L,18.65
74.142522,R,82.18
74.151874,U,152.29
74.160154,L,18.66
74.191511,R,82.15
74.201520,U,149.71
74.209680,L,18.63
74.240498,R,82.12
74.251240,U,149.73
74.259205,L,18.66
74.289487,R,82.10
74.300886,U,147.19
74.308723,L,18.61
74.338477,R,82.15
74.350603,U,147.17
74.358240,L,18.65
74.387467,R,82.17
74.400348,U,147.11
74.407770,L,18.65
74.436557,R,84.66
74.450070,U,147.17
74.457291,L,18.66
74.485549,R,84.67
74.506810,L,18.59
74.499788,U,147.11
74.534542,R,84.62
74.556326,L,18.68
74.549431,U,144.60
74.583528,R,84.67
74.605848,L,18.65
74.599145,U,144.60
74.632521,R,84.55
74.655369,L,18.66
74.648861,U,144.53
74.681581,R,87.18
74.704891,L,18.66
74.698579,U,144.53
74.730575,R,87.23
74.754411,L,18.68
74.748298,U,144.53
74.779563,R,87.18
74.803933,L,18.66
74.798090,U,147.07
74.828553,R,87.20
74.853455,L,18.66
74.847807,U,147.09
74.877541,R,87.16
74.902978,L,18.66
74.897524,U,147.07
74.926458,R,84.66
74.952499,L,18.68
74.947268,U,147.09
74.975444,R,84.59
75.002026,L,18.63
74.997062,U,149.68
75.024425,R,84.66
75.046783,U,149.61
75.051557,L,18.63
75.073414,R,84.72
75.096504,U,149.71
75.101079,L,18.65
75.122399,R,84.67
75.146223,U,149.78
75.150605,L,18.75
75.171387,R,84.72
75.195940,U,149.71
75.200128,L,18.65
75.220298,R,82.15
75.249652,L,18.58
75.245659,U,149.70
75.269283,R,82.13
75.299179,L,18.54
75.295379,U,149.70
75.318270,R,82.15
75.348702,L,18.68
75.345094,U,149.63
75.367254,R,82.15
75.398225,L,18.65
75.394811,U,149.66
75.416242,R,82.17
75.447748,L,18.61
75.444533,U,149.71
75.465302,R,84.67
75.497274,L,18.73
75.494255,U,149.80
75.514287,R,84.72
75.546800,L,18.63
75.543971,U,149.73
75.563272,R,84.74
75.596324,L,18.56
75.593690,U,149.58
75.612258,R,84.72
75.645851,L,18.66
75.643405,U,149.63
75.661250,R,84.74
75.695375,L,18.68
75.693123,U,149.71
75.710237,R,84.60
75.744900,L,18.63
75.742839,U,149.73
75.759224,R,84.69
75.794417,L,18.65
75.792559,U,149.70
75.808285,R,87.18
75.843942,L,18.61
75.842280,U,149.65
75.857269,R,87.18
75.893464,L,18.63
75.891997,U,149.66
75.906256,R,87.20
75.942986,L,18.68
75.941718,U,149.77
75.955268,R,87.26
75.992508,L,18.63
75.991435,U,149.70
76.004256,R,87.14
76.042025,L,18.65
76.041154,U,149.70
76.053242,R,87.16
76.091547,L,18.70
76.090875,U,149.66
76.102234,R,87.21
76.141072,L,18.65
76.140597,U,149.66
76.151247,R,87.21
76.190599,L,18.66
76.190319,U,149.75
76.200310,R,89.70
76.240119,L,18.58
76.240037,U,149.73
76.249295,R,89.68
76.289645,L,18.63
76.289757,U,149.70
76.298282,R,89.68
76.339166,L,18.63
76.347259,R,89.70
76.339508,U,149.73
76.388690,L,18.61
76.389230,U,149.71
76.396252,R,89.72
76.438218,L,18.65
76.438980,U,149.71
76.445234,R,89.70
76.487743,L,18.68
76.488700,U,149.70
76.494224,R,89.68
76.537271,L,18.68
76.538417,U,149.70
76.543208,R,89.72
76.586796,L,18.63
76.588138,U,149.70
76.592196,R,89.70
76.636318,L,18.63
76.637855,U,149.68
76.641182,R,89.75
76.685844,L,18.63
76.687604,U,149.70
76.690174,R,89.80
76.735361,L,18.61
