index,x,y,z,yaw,distance
34.0120,-0.0002,-0.0015,-0.0000,-0.0023,0.0046
34.1120,-0.0005,0.0001,-0.0005,0.0049,-0.0001
34.2120,0.0003,-0.0004,-0.0000,0.0049,-0.0025
34.3120,-0.0005,-0.0001,-0.0000,-0.0071,-0.0049
34.4120,0.0006,-0.0001,-0.0003,-0.0047,0.0142
34.5120,-0.0002,0.0004,0.0003,-0.0047,0.0022
34.6120,0.0001,-0.0004,-0.0000,0.0049,-0.0025
34.7120,0.0006,-0.0001,-0.0000,0.0049,-0.0049
34.8120,0.0003,0.0007,-0.0000,-0.0071,-0.0193
34.9120,0.0006,-0.0015,-0.0005,0.0049,-0.0025
35.0120,0.0001,-0.0004,-0.0011,0.0120,0.0070
35.1120,-0.0005,0.0012,-0.0005,-0.0143,-0.0025
35.2120,0.0003,0.0004,-0.0003,-0.0071,-0.0073
35.3120,0.0001,0.0001,0.0011,0.0025,0.0046
35.4120,0.0001,-0.0001,0.0005,0.0049,-0.0145
35.5120,0.0001,0.0004,-0.0008,-0.0119,-0.0145
35.6120,0.0003,0.0012,0.0011,0.0288,0.0214
35.7120,-0.0005,0.0007,-0.0008,0.0001,-0.0049
35.8120,-0.0002,0.0004,-0.0003,0.0025,0.0238
35.9120,0.0001,0.0001,-0.0003,0.0001,0.0070
36.0120,0.0001,0.0007,-0.0003,-0.0119,-0.0193
36.1120,-0.0005,0.0001,0.0013,-0.0311,0.0046
36.2120,-0.0002,-0.0001,0.0008,-0.0095,0.0046
36.3120,0.0003,0.0009,0.0005,-0.0119,0.0046
36.4120,0.0003,0.0004,-0.0005,0.0120,-0.0073
36.5120,0.0009,0.0004,-0.0008,0.0288,0.0046
36.6120,0.0009,-0.0001,-0.0008,-0.0095,-0.0049
36.7120,0.0001,0.0004,-0.0005,0.0049,-0.0169
36.8120,0.0003,0.0001,-0.0000,0.0049,0.0166
36.9120,0.0001,0.0004,-0.0003,-0.0047,-0.0049
37.0120,0.0001,0.0007,0.0003,0.0264,-0.0145
37.1120,0.0006,0.0001,0.0008,-0.0023,-0.0193
37.2120,0.0001,0.0001,-0.0000,0.0192,-0.0193
37.3120,-0.0002,0.0001,-0.0005,-0.0119,0.0070
37.4120,0.0003,-0.0001,0.0005,0.0049,0.0046
37.5120,-0.0002,-0.0007,0.0003,-0.0119,0.0214
37.6120,0.0003,0.0004,-0.0000,0.0049,-0.0121
37.7120,0.0003,0.0004,-0.0000,0.0001,-0.0241
37.8120,0.0001,0.0004,0.0003,0.0072,0.0166
37.9120,0.0009,-0.0001,-0.0003,0.0025,0.0094
38.0120,0.0001,0.0001,-0.0008,0.0049,-0.0097
38.1120,0.0001,-0.0001,-0.0011,-0.0023,-0.0049
38.2120,-0.0005,-0.0004,0.0008,0.0025,-0.0025
38.3120,0.0003,-0.0009,-0.0003,-0.0071,-0.0097
38.4120,0.0003,-0.0001,-0.0000,-0.0095,-0.0025
38.5120,-0.0002,-0.0004,-0.0000,0.0049,0.0214
38.6120,-0.0002,-0.0004,0.0008,-0.0047,-0.0073
38.7120,-0.0005,-0.0004,-0.0005,-0.0239,0.0070
38.8120,-0.0002,0.0001,-0.0005,0.0120,-0.0049
38.9120,0.0003,-0.0004,-0.0005,0.0072,0.0022
39.0120,-0.0002,0.0001,-0.0000,-0.0071,-0.0001
39.1120,-0.0010,0.0012,0.0003,-0.0215,-0.0049
39.2120,0.0006,-0.0012,0.0011,-0.0143,-0.0097
39.3120,0.0001,0.0007,0.0005,0.0072,-0.0001
39.4120,0.0001,-0.0004,-0.0000,-0.0095,0.0046
39.5120,0.0009,-0.0001,-0.0000,0.0168,-0.0073
39.6120,-0.0002,0.0001,-0.0011,0.0072,-0.0025
39.7120,0.0001,-0.0001,-0.0000,0.0072,0.0094
39.8120,-0.0005,0.0004,-0.0003,0.0049,0.0118
39.9120,0.0009,-0.0001,0.0008,-0.0143,0.0118
40.0120,-0.0010,0.0009,-0.0000,0.0144,0.0046
40.1120,-0.0005,-0.0004,-0.0000,-0.0047,-0.0145
40.2120,0.0003,0.0001,0.0003,0.0001,0.0070
40.3120,0.0006,0.0009,-0.0003,-0.0047,-0.0001
40.4120,-0.0002,-0.0007,-0.0000,0.0120,0.0070
40.5120,-0.0002,0.0004,-0.0000,0.0144,0.0118
40.6120,-0.0005,0.0009,-0.0000,0.0072,0.0046
40.7120,0.0001,-0.0007,0.0005,0.0049,0.0094
40.8120,-0.0013,-0.0001,0.0003,-0.0047,0.0118
40.9120,0.0006,0.0012,-0.0003,0.0144,0.0190
41.0120,0.0006,-0.0001,-0.0003,-0.0023,0.0046
41.1120,-0.0007,-0.0007,-0.0013,-0.0047,-0.0049
41.2120,0.0006,-0.0001,-0.0003,-0.0215,0.0046
41.3120,-0.0002,-0.0001,-0.0011,-0.0023,0.0022
41.4120,0.0006,0.0004,-0.0003,-0.0095,-0.0097
41.5120,0.0001,-0.0001,0.0008,0.0049,0.0022
41.6120,0.0003,-0.0001,-0.0000,-0.0119,-0.0217
41.7120,0.0001,-0.0004,-0.0011,-0.0143,0.0142
41.8120,0.0006,0.0004,-0.0000,0.0072,-0.0001
41.9120,0.0001,-0.0007,-0.0005,-0.0119,0.0166
42.0120,0.0006,0.0004,-0.0013,0.0216,0.0022
42.1120,0.0003,-0.0007,-0.0003,0.0001,-0.0049
42.2120,0.0009,0.0001,-0.0000,-0.0119,0.0094
42.3120,0.0003,0.0009,-0.0000,-0.0167,0.0190
42.4120,-0.0002,0.0001,-0.0008,0.0072,0.0070
42.5120,0.0003,0.0001,-0.0005,-0.0239,-0.0001
42.6120,0.0009,-0.0001,-0.0000,0.0025,0.0022
42.7120,0.0003,0.0012,-0.0011,0.0049,0.0214
42.8120,0.0003,-0.0004,-0.0008,-0.0215,0.0022
42.9120,0.0006,-0.0001,-0.0011,0.0096,-0.0097
43.0120,0.0001,0.0001,0.0005,0.0144,0.0142
43.1120,-0.0005,0.0004,-0.0005,-0.0119,0.0022
43.2120,0.0006,-0.0001,0.0003,-0.0023,0.0070
43.3120,0.0003,-0.0001,-0.0008,0.0049,0.0046
43.4120,0.0003,-0.0004,-0.0013,0.0049,-0.0049
43.5120,-0.0005,0.0001,-0.0005,-0.0167,-0.0073
43.6120,-0.0002,-0.0004,-0.0003,0.0192,0.0070
43.7120,0.0001,0.0007,-0.0000,-0.0023,-0.0121
43.8120,0.0001,0.0007,-0.0003,0.0049,-0.0073
43.9120,0.0006,-0.0015,0.0003,-0.0167,0.0142
44.0120,0.0003,0.0001,-0.0005,-0.0071,0.0142
44.1120,0.0001,-0.0001,-0.0011,0.0096,0.0022
44.2120,0.0003,-0.0007,-0.0008,-0.0143,0.0046
44.3120,0.0003,0.0001,0.0008,0.0120,-0.0289
44.4120,0.0001,-0.0001,0.0003,-0.0263,-0.0073
44.5120,0.0001,0.0001,0.0005,0.0025,0.0214
44.6120,0.0003,-0.0007,-0.0003,-0.0191,-0.0049
44.7120,0.0001,0.0001,-0.0005,-0.0047,-0.0025
