Timestamp(us)	AccelX(g)	AccelY(g)	AccelZ(g)	GyroX(dps)	GyroY(dps)	GyroZ(dps)
2113027	0.0054	-0.0801	0.9824	1.2207	-1.8311	0.1221
2122997	0.0054	-0.0625	0.9844	1.4648	-1.0986	0.3662
2133027	0.0098	-0.0674	0.9824	1.5259	-0.9155	1.0986
2142993	0.0103	-0.0718	0.9746	0.9766	-0.3052	0.8545
2153028	0.0181	-0.0732	0.9839	0.4272	1.0376	0.8545
2162993	0.0073	-0.0752	1.0117	0.5493	1.1597	0.5493
2173040	0.0015	-0.0693	1.0249	-0.061	0.5493	0.2441
2182993	0.0034	-0.0752	1.0327	-0.1221	-0.9155	0.4883
2193031	0.0044	-0.0811	1.0259	1.2817	-1.6479	0.3052
2202997	-0.0029	-0.0732	1.0063	2.6855	-1.6479	0.3052
2215027	0.0054	-0.0718	0.9976	1.709	-2.2583	0.9155
2224993	0.0112	-0.0752	0.9907	1.1597	-1.4648	0.9155
2235027	0.0117	-0.082	0.9849	1.4648	-1.5259	0.4272
2244997	0.0156	-0.0791	0.9766	1.77	-0.4272	-0.1221
2255027	0.0054	-0.0684	0.9844	0.3052	0.3662	-0.8545
2264992	0.0117	-0.0605	1.0024	-0.9155	0	-0.7935
2275031	0.002	-0.0557	1.0103	-0.061	0.1221	-0.4272
2284997	-0.0015	-0.0449	1.0068	0.7324	-0.4883	0.3052
2295027	0.0068	-0.0527	1.0034	-0.1221	-0.4883	1.8921
2304993	0.0117	-0.0771	1.0146	-0.3662	-0.1221	2.3804
2317031	0.0137	-0.0977	1.0176	0.1221	-0.7324	1.5259
2326993	0.0054	-0.0894	1.0166	0.3662	-1.5869	0.061
2337027	0.0078	-0.0713	1.002	0.9155	-2.0142	-1.0986
2346997	0.0034	-0.0444	0.9824	1.4648	-1.2817	-1.2817
2357031	0.0068	-0.0244	0.9902	0.4883	-0.3052	-0.3662
2366992	0.0049	-0.0259	1.0127	-0.1831	-0.3662	1.2817
2378027	0.0005	-0.0483	1.0205	0.4883	-1.1597	2.6855
2387997	-0.0039	-0.0679	1.0088	1.4038	-1.709	2.7466
2398031	0.0049	-0.0669	0.9922	1.6479	-1.4038	2.7466
2409993	0.0103	-0.084	0.9873	1.8311	-0.4883	3.2349
2420027	0.0171	-0.0972	0.9932	1.6479	-0.1221	2.4414
2429993	0.019	-0.106	0.999	1.0986	-0.8545	1.2817
2440031	0.0166	-0.1055	1	0.4272	-1.2817	0.1831
2449993	0.0146	-0.1064	0.9878	0.8545	-1.2817	-0.4883
2460027	0.0044	-0.1011	0.9824	1.3428	0.061	-1.0986
2469997	0.002	-0.0806	0.998	0.7324	1.1597	-1.5869
2480031	0.0039	-0.0728	1.0244	0.7324	0.6714	-1.0986
2489993	0.0059	-0.0835	1.0215	1.4648	-0.6104	-0.9155
2500027	0.0073	-0.0796	1.0093	2.0752	-1.0986	-1.5259
2511997	0.0024	-0.0645	0.9907	1.8921	-1.0986	-2.1362
2522027	0.0117	-0.0493	0.9834	1.4038	-0.6714	-1.709
2531993	0.0078	-0.0581	0.9937	1.5259	0.2441	-0.9155
2542031	0.0093	-0.064	1.0024	1.1597	0.4272	-1.1597
2551997	0.0068	-0.0576	1.0132	0.3052	0.1221	-2.0142
2562027	-0.0029	-0.0386	1.0151	0.5493	-0.1831	-1.4648
2571993	-0.0054	-0.0371	1.022	0.8545	-0.7324	-0.1221
2582031	-0.0024	-0.0435	1.0161	0.9155	-1.0986	0.5493
2591997	0.0015	-0.0439	1.0073	0.4883	-1.77	0.6714
2602027	0.0063	-0.0381	0.9956	0.9766	-1.5869	1.6479
2613993	0.0024	-0.0498	0.9893	1.4648	-0.7935	2.8076
2624031	0.0029	-0.0688	0.9902	1.4648	-0.2441	3.0518
2633997	0.0093	-0.085	0.9937	0.8545	0	2.9297
2644023	0.0107	-0.103	1.0029	0.4883	-0.2441	1.709
2653997	0.0103	-0.1069	1.0049	0.3662	-0.1831	0.4883
2664027	0.0059	-0.0952	1.0088	0.3052	-0.6104	-0.4883
2674001	0.0127	-0.0933	1.0024	1.1597	-0.7935	-0.3662
2685068	0.0083	-0.0889	0.9956	1.8311	-0.1831	-0.2441
2694997	0.0054	-0.0923	0.9951	2.0142	-0.2441	-0.1831
2705027	0.0083	-0.0928	0.9819	1.8921	0.3662	-0.9155
2716997	0.0093	-0.0811	0.9971	1.8921	1.6479	-1.8921
2727023	-0.0005	-0.0708	1.0137	2.1973	1.2207	-2.2583
2737001	-0.0029	-0.061	1.019	2.0752	0.3662	-2.3193
2747027	0.0044	-0.0435	1.0063	1.6479	-0.8545	-2.1362
2756997	0.002	-0.0342	0.9951	0.5493	-0.9766	-1.3428
2767023	0.0063	-0.0435	0.9849	1.0376	-0.061	-0.7324
2777001	0.0054	-0.0474	0.9893	0.4272	0.7324	-0.2441
2786024	-0.0034	-0.0532	0.9995	-0.061	0.7935	-0.3052
2794992	-0.0029	-0.0396	1.0029	-0.061	0.5493	-0.061
2818880	0.002	-0.0493	1.0063	0.9155	0.8545	1.5259
2831353	0.0015	-0.0635	1.0142	0.4883	0	1.9531
2843380	0.0073	-0.0762	1.0068	-0.4272	-0.3662	1.6479
2855362	0.0024	-0.0918	1	-1.4648	-0.6104	1.2207
2867384	0.0034	-0.082	0.998	-0.9766	-0.6714	0.6104
2879354	0.0063	-0.0933	1.002	-0.3662	0.061	0.9155
2891387	0.0029	-0.0835	1.0024	1.2207	0.1221	0.061
2903361	0.0034	-0.0898	1.0093	0.8545	-0.1221	0.4883
2915376	-0.001	-0.1035	0.9878	1.709	-0.7324	-0.6714
2927358	0.0088	-0.0806	0.9741	0.3662	0.7935	-1.6479
2941380	0.0005	-0.0728	1	-0.2441	1.6479	-1.5259
2953362	-0.001	-0.061	1.0176	-0.8545	1.0986	-1.6479
2965384	0	-0.0654	1.0151	-0.9766	-0.3662	-0.8545
2977358	-0.001	-0.0781	0.9995	-0.8545	-0.1831	-1.4648
2989380	-0.0034	-0.0635	1.0088	0.8545	0.4272	-2.1362
3001353	-0.0068	-0.0464	1.0063	0.9766	0.2441	-1.5259
3014511	-0.0098	-0.0381	1.0044	0.1831	0.1831	-1.2207
3027362	-0.002	-0.0264	0.9951	-1.77	-0.7935	-0.061
3039380	0.0024	-0.0469	0.9941	-1.6479	-0.061	1.8311
3051392	0.001	-0.0698	1.0127	-0.3052	0.7324	2.1362
3065419	-0.0083	-0.0791	1.0244	0.7324	-0.3662	1.709
3077388	0	-0.0854	1.0098	1.8311	-1.2817	1.77
3089423	0.0054	-0.0938	1.0107	1.709	-1.0986	1.0376
3102446	0.0068	-0.0942	1.0049	0.7935	-2.0142	0.3662
3114423	0.0068	-0.0933	0.9941	0.6714	-1.5869	-0.3052
3126388	0.0005	-0.0933	0.9912	-0.2441	-0.9155	-0.7935
3138419	0.002	-0.0864	1.0049	0.4272	-0.4272	-0.9766
3150392	0.001	-0.0742	1.0034	2.2583	-0.6714	-1.3428
3162419	0	-0.0718	0.9941	2.5024	-0.7324	-1.4038
3176388	0.0005	-0.0664	0.9917	1.0986	-0.8545	-2.0752
3188423	-0.0029	-0.0552	0.9946	1.2817	-0.2441	-2.2583
3200419	-0.0059	-0.0234	0.9971	1.4648	0.4883	-1.0986
3212419	-0.0098	-0.0293	1.0181	0.6104	0.4272	1.4038
3224388	-0.0063	-0.0566	1.0186	0.4883	-0.4883	1.8921
3236419	-0.0068	-0.064	1.0098	0.4272	-0.9155	1.9531
3248392	-0.0044	-0.0654	1.0151	0.3052	-1.4038	1.5259
3260419	-0.0049	-0.0562	1.0059	0.6104	-1.77	2.0752
3272388	0.0083	-0.0762	1.0078	0.6714	-2.1362	2.6855
3284423	0	-0.1016	1.0039	0.4272	-2.9297	2.3804
3298388	-0.0024	-0.0986	0.9775	1.709	-1.77	0.3662
3310423	-0.0005	-0.0781	0.9766	1.6479	-0.3052	0.4883
