time,type,distance
109.917958,R,99.71
109.935361,L,65.18
109.945529,U,62.99
109.984743,L,60.24
110.015942,R,99.88
109.995248,U,62.99
110.015870,R,97.41
110.034200,L,57.54
110.064861,R,97.27
110.044975,U,63.07
110.083724,L,57.80
110.113855,R,97.27
110.094699,U,63.04
110.133175,L,55.00
110.144342,U,60.34
110.182702,L,55.12
110.162855,R,97.17
110.211847,R,97.27
110.194064,U,60.29
110.232234,L,55.02
110.243786,U,60.55
110.281835,L,57.66
110.260848,R,97.37
110.293503,U,60.43
110.331361,L,57.66
110.309846,R,97.13
110.343230,U,60.31
110.358911,R,99.69
110.380890,L,57.61
110.407981,R,102.28
110.392949,U,60.43
110.430419,L,57.51
110.442672,U,60.41
110.457049,R,104.75
110.479941,L,57.63
110.506043,R,104.80
110.492399,U,60.22
110.529468,L,57.53
110.555039,R,104.79
110.542114,U,60.39
110.578989,L,57.59
110.604062,R,104.80
110.591838,U,60.38
110.678047,L,57.77
110.653055,R,104.80
110.641556,U,60.43
110.678049,L,57.82
110.702052,R,104.84
110.691277,U,60.50
110.727501,L,55.02
110.740993,U,60.41
110.777029,L,55.11
110.751051,R,104.67
110.790719,U,60.29
110.800040,R,104.86
110.826563,L,55.02
110.840434,U,60.41
110.876091,L,55.07
110.849109,R,107.40
110.896868,R,64.58
110.890159,U,60.57
110.925627,L,54.99
110.947104,R,107.34
110.939878,U,60.41
110.975085,L,52.43
110.989599,U,60.43
110.996103,R,107.52
111.024613,L,52.51
111.043203,R,41.94
111.039325,U,60.31
111.074145,L,52.43
111.094089,R,107.31
111.089042,U,60.43
111.123697,L,52.51
111.141844,R,64.58
111.138768,U,60.27
111.173228,L,52.64
111.190767,R,62.07
111.188484,U,60.45
111.222832,L,55.04
111.239255,R,44.43
111.238211,U,60.36
111.272364,L,55.05
111.321894,L,55.11
111.288612,R,57.02
111.287932,U,60.55
111.337973,R,69.52
111.337749,U,62.92
111.371427,L,55.00
111.387328,R,82.17
111.387395,U,60.36
111.420959,L,55.02
111.436761,R,97.20
111.437189,U,62.90
111.470491,L,54.99
111.485976,R,104.73
111.486910,U,62.97
111.520017,L,55.02
111.534968,R,104.80
111.536630,U,62.97
111.569546,L,55.07
111.583965,R,104.77
111.586357,U,62.88
111.619075,L,55.24
