time,type,distance,
108.449229,L,57.7,FALSE
108.448112,R,97.11,FALSE
108.4541,U,68.08,FALSE
108.498755,L,57.53,FALSE
108.497105,R,97.27,FALSE
108.503821,U,68.08,FALSE
108.548282,L,57.66,FALSE
108.546177,R,99.59,FALSE
108.55354,U,68.08,FALSE
108.597739,L,55.12,FALSE
108.595165,R,99.72,FALSE
108.603261,U,68.2,FALSE
108.647272,L,55.02,FALSE
108.644159,R,99.74,FALSE
108.652979,U,68.08,FALSE
108.696799,L,55.12,FALSE
108.69316,R,99.74,FALSE
108.702695,U,68.08,FALSE
108.746331,L,55.07,FALSE
108.742152,R,99.55,FALSE
108.752416,U,68.1,FALSE
108.795859,L,55.11,FALSE
108.791143,R,99.62,FALSE
108.802139,U,68.05,FALSE
108.845311,L,52.58,FALSE
108.840066,R,97.29,FALSE
108.851785,U,65.53,FALSE
108.894618,L,44.95,TRUE
108.889056,R,97.11,FALSE
108.901505,U,65.54,FALSE
108.938044,R,97.18,FALSE
108.944444,L,55.18,FALSE
108.951228,U,65.47,FALSE
108.994045,L,57.66,FALSE
108.987043,R,97.15,FALSE
109.000948,U,65.54,FALSE
109.043578,L,57.61,FALSE
109.036032,R,97.24,FALSE
109.085022,R,97.22,FALSE
109.050668,U,65.6,FALSE
109.093108,L,57.54,FALSE
109.100386,U,65.53,FALSE
109.134018,R,97.13,FALSE
109.142636,L,57.7,FALSE
109.150104,U,65.51,FALSE
109.192193,L,57.63,FALSE
109.183011,R,97.1,FALSE
109.199818,U,65.54,FALSE
109.241717,L,57.65,FALSE
109.232003,R,97.24,FALSE
109.249539,U,65.44,FALSE
109.291244,L,57.66,FALSE
109.280991,R,97.11,FALSE
109.299259,U,65.47,FALSE
109.340804,L,57.66,FALSE
109.329979,R,97.13,FALSE
109.348977,U,65.54,FALSE
109.390262,L,55.11,FALSE
109.378976,R,97.22,FALSE
109.42796,R,97.25,FALSE
109.398694,U,65.44,FALSE
109.439795,L,54.99,FALSE
109.448337,U,62.95,FALSE
109.476951,R,97.15,FALSE
109.489325,L,55.05,FALSE
109.525943,R,97.2,FALSE
109.498056,U,62.99,FALSE
109.538854,L,55.24,FALSE
109.547771,U,62.95,FALSE
109.588527,L,60.2,FALSE
109.574936,R,97.34,FALSE
109.597491,U,62.92,FALSE
109.638126,L,62.73,FALSE
109.62393,R,97.18,FALSE
109.672919,R,97.25,FALSE
109.647216,U,62.93,FALSE
109.687731,L,65.16,FALSE
109.696859,U,60.53,FALSE
109.737326,L,67.82,FALSE
109.721914,R,97.17,FALSE
109.746576,U,60.43,FALSE
109.786927,L,70.35,FALSE
109.770909,R,97.13,FALSE
109.796375,U,62.92,FALSE
109.83645,L,70.35,FALSE
109.819903,R,97.3,FALSE
109.846091,U,63.04,FALSE
109.885903,L,67.81,FALSE
109.868893,R,97.15,FALSE
109.895808,U,63,FALSE
109.917958,R,99.71,FALSE
109.935361,L,65.18,FALSE
109.945529,U,62.99,FALSE
109.984743,L,60.24,FALSE
110.015942,R,99.88,FALSE
109.995248,U,62.99,FALSE
110.01587,R,97.41,FALSE
110.0342,L,57.54,FALSE
110.064861,R,97.27,FALSE
110.044975,U,63.07,FALSE
110.083724,L,57.8,FALSE
110.113855,R,97.27,FALSE
110.094699,U,63.04,FALSE
110.133175,L,55,FALSE
110.144342,U,60.34,FALSE
110.182702,L,55.12,FALSE
110.162855,R,97.17,FALSE
110.211847,R,97.27,FALSE
110.194064,U,60.29,FALSE
110.232234,L,55.02,FALSE
110.243786,U,60.55,FALSE
110.281835,L,57.66,FALSE
110.260848,R,97.37,FALSE
110.293503,U,60.43,FALSE
110.331361,L,57.66,FALSE
110.309846,R,97.13,FALSE
110.34323,U,60.31,FALSE
110.358911,R,99.69,FALSE
110.38089,L,57.61,FALSE
110.407981,R,102.28,FALSE
110.392949,U,60.43,FALSE
110.430419,L,57.51,FALSE
110.442672,U,60.41,FALSE
110.457049,R,104.75,FALSE
110.479941,L,57.63,FALSE
110.506043,R,104.8,FALSE
110.492399,U,60.22,FALSE
110.529468,L,57.53,FALSE
110.555039,R,104.79,FALSE
110.542114,U,60.39,FALSE
110.578989,L,57.59,FALSE
110.604062,R,104.8,FALSE
110.591838,U,60.38,FALSE
110.678047,L,57.77,FALSE
110.653055,R,104.8,FALSE
110.641556,U,60.43,FALSE
110.678049,L,57.82,FALSE
110.702052,R,104.84,FALSE
110.691277,U,60.5,FALSE
110.727501,L,55.02,FALSE
110.740993,U,60.41,FALSE
110.777029,L,55.11,FALSE
110.751051,R,104.67,FALSE
110.790719,U,60.29,FALSE
110.80004,R,104.86,FALSE
110.826563,L,55.02,FALSE
110.840434,U,60.41,FALSE
110.876091,L,55.07,FALSE
110.849109,R,107.4,FALSE
110.896868,R,64.58,FALSE
110.890159,U,60.57,FALSE
110.925627,L,54.99,FALSE
110.947104,R,107.34,FALSE
110.939878,U,60.41,FALSE
110.975085,L,52.43,FALSE
110.989599,U,60.43,FALSE
110.996103,R,107.52,FALSE
111.024613,L,52.51,FALSE
111.043203,R,41.94,TRUE
111.039325,U,60.31,FALSE
111.074145,L,52.43,FALSE
111.094089,R,107.31,FALSE
111.089042,U,60.43,FALSE
111.123697,L,52.51,FALSE
111.141844,R,64.58,FALSE
111.138768,U,60.27,FALSE
111.173228,L,52.64,FALSE
111.190767,R,62.07,FALSE
111.188484,U,60.45,FALSE
111.222832,L,55.04,FALSE
111.239255,R,44.43,TRUE
111.238211,U,60.36,FALSE
111.272364,L,55.05,FALSE
