time,gyro x,gyro y,gyro z,accel x,accel y, accel z
19.4670,-1.2547,-0.0395,-0.2201,0.0076,0.0049,0.0063
19.5720,-1.3693,1.0750,1.1692,0.0037,0.0049,0.0053
19.6670,2.8674,-1.9250,-0.4644,0.0027,0.0010,0.0048
19.7670,-0.0868,-2.0395,-0.7163,-0.0105,-0.0171,0.0146
19.8670,-0.2853,-3.7112,0.5432,0.0066,-0.0053,0.0038
19.9670,-0.4303,-2.6425,0.4135,-0.0056,-0.0083,0.0063
20.0670,-0.0334,-0.0318,1.8486,-0.0027,0.0049,-0.0103
20.1670,0.7529,2.5483,0.2074,0.0100,0.0000,0.0024
20.2670,-1.5906,-2.3067,-0.0369,0.0017,-0.0024,-0.0020
20.3670,1.1346,-0.7112,0.1005,-0.0051,0.0064,0.0004
20.4670,-0.8807,-2.3906,0.8867,0.0012,-0.0097,0.0024
20.5670,-0.0105,0.0140,-3.2430,0.0017,0.0010,-0.0001
20.6670,-0.0028,-0.4746,-0.3041,-0.0071,-0.0136,0.0136
20.7670,1.0811,-1.0089,1.3829,-0.0046,0.0171,0.0077
20.8670,0.0506,-1.8792,0.1463,-0.0066,-0.0034,0.0053
20.9670,0.4017,1.4491,-0.6323,-0.0002,0.0010,0.0146
21.0670,-2.1860,2.2353,1.0470,0.0086,-0.0034,-0.0054
21.1670,-0.1173,-1.0624,0.5738,0.0061,0.0054,0.0058
21.2670,1.1727,0.2201,-0.4339,-0.0095,0.0137,0.0146
21.3670,0.7453,-0.7723,3.2074,-0.0061,-0.0073,-0.0059
21.4670,5.1804,3.4185,-3.1133,-0.0495,0.0196,-0.0113
21.5670,-2.3005,9.1208,-25.7087,0.1155,-0.0351,-0.0562
21.6670,4.7453,3.3651,-3.1362,0.0593,0.0171,-0.0338
21.7670,3.7300,2.8155,8.4745,0.0457,-0.0166,0.0053
21.8670,-13.5983,1.3498,-3.4720,0.0842,0.0152,-0.0508
21.9670,-6.3922,-1.3906,-34.1514,-0.0066,-0.0752,0.0224
22.0670,-9.5906,25.5636,8.3066,0.4978,0.1402,0.1459
22.1670,2.4094,15.4109,-29.7239,-0.0881,-0.1616,0.2187
22.2670,1.2109,-34.3525,-42.7545,0.0471,-0.0068,-0.0001
22.3670,7.0277,50.1666,-7.3728,0.1931,0.2325,-0.1807
22.4670,-2.1555,55.9758,14.3295,-0.0715,-0.1899,0.0702
22.5670,-9.4838,2.5101,-9.0140,0.1301,-0.0600,0.0546
22.6670,-17.7128,-5.3906,-23.7010,0.4119,-0.0146,-0.0880
22.7670,-9.8196,6.1895,15.9707,0.2508,-0.1562,0.1987
22.8670,8.3330,42.5178,17.6577,0.4094,-0.0844,0.3632
22.9670,22.9361,30.2582,13.8180,0.1614,-0.0864,0.1972
23.0670,14.5620,55.2888,8.6196,0.2434,-0.0107,0.0429
23.1670,8.4323,56.4033,18.2226,0.1087,0.0664,-0.0626
23.2670,-4.4685,72.5025,27.6348,-0.4826,0.0694,0.1518
23.3670,-14.3082,76.3880,44.1386,0.0081,-0.0478,-0.2198
23.4670,-7.9570,85.2506,26.0165,0.3557,-0.0166,-0.1876
23.5670,-7.8273,115.2201,5.1081,0.0681,-0.0874,-0.0338
23.6670,5.1040,111.8460,0.7799,-0.1120,-0.1919,-0.1749
23.7670,-2.4532,84.6017,-14.0522,-0.1775,-0.0141,-0.0010
23.8670,-15.7433,98.4491,2.5432,0.0935,-0.1294,-0.2940
23.9670,7.1040,104.5254,2.2150,-0.0119,-0.1621,-0.1290
24.0670,11.6765,111.8307,-8.6323,0.0935,-0.0869,-0.2388
24.1670,15.9895,94.3804,-2.9377,-0.0764,-0.0488,0.0732
24.2670,-30.3922,72.0445,-8.0980,-0.0447,-0.0273,-0.0015
24.3670,-32.7815,84.3498,3.1463,-0.0066,-0.0342,0.0580
24.4670,-17.4761,55.2048,0.3448,0.0569,0.1172,-0.0074
24.5670,-33.6822,73.8689,11.4745,0.0291,0.0132,-0.0723
24.6670,-3.9112,72.9758,-6.9453,-0.0012,0.0386,-0.0528
24.7670,-16.7204,64.5025,-12.9911,-0.0686,0.0166,0.0126
24.8670,0.5773,61.2353,-10.3575,0.0208,-0.0136,-0.1446
24.9670,-7.4609,60.2353,-7.3346,-0.0408,-0.0351,-0.0010
25.0670,-3.9647,54.9682,-3.5560,-0.0144,-0.0551,-0.0152
25.1670,3.1804,68.7926,-3.2201,0.0003,-0.0166,-0.0865
25.2670,8.5926,83.5178,1.5967,0.0550,-0.0488,-0.1617
25.3670,-5.2013,86.4872,6.8638,0.1336,-0.0551,0.0702
25.4670,-29.9723,73.4643,-5.0446,0.0061,-0.1552,-0.0421
25.5670,-11.9952,72.7850,0.9325,-0.1199,-0.1870,0.0707
25.6670,-4.7357,54.9376,-14.7163,-0.0163,-0.1259,-0.0206
25.7670,-3.4074,67.8689,1.0928,0.0750,-0.1269,-0.0201
25.8670,-8.0563,47.9834,10.6730,-0.0544,-0.1347,0.0029
25.9670,-4.7204,51.5941,7.7493,-0.0481,-0.1294,-0.0425
26.0670,-9.4990,46.6094,-2.6629,-0.1033,-0.1045,0.0234
26.1670,-18.3616,52.0979,11.1692,-0.1018,-0.0742,0.0126
26.2670,-39.9570,28.0903,4.4669,-0.1579,-0.0708,0.1791
26.3670,-16.8502,37.7544,14.5967,-0.0241,-0.1391,-0.0220
26.4670,-15.4609,54.2353,-1.9530,-0.0803,-0.1557,-0.1509
26.5670,3.0430,52.8613,-1.5560,-0.1443,-0.2055,-0.0416
26.6670,-5.6822,56.9529,-9.7316,-0.1311,-0.1508,-0.0577
26.7670,-5.4380,71.6857,-2.2354,-0.1623,-0.1108,-0.0875
26.8670,-16.4380,68.2048,-4.6476,-0.1765,-0.1342,0.0073
26.9670,-1.3540,74.1437,-14.5560,-0.0622,-0.1523,-0.0518
27.0670,-18.3998,72.5483,-15.5026,-0.0857,-0.2221,-0.0508
27.1670,-3.0639,73.4567,-6.6018,-0.1418,-0.1958,0.0073
27.2670,-19.4838,58.2735,2.0928,-0.0617,-0.1875,-0.1739
27.3670,-21.0792,49.9605,-1.8919,-0.1472,-0.2563,-0.0279
27.4670,-21.2089,48.9834,0.7341,-0.2517,-0.2397,0.0327
27.5670,-23.0334,54.4872,-0.8003,-0.2004,-0.1865,-0.1334
27.6670,-5.3082,46.2888,-8.2888,-0.1531,-0.1425,0.0102
27.7670,-7.7509,38.7926,-0.2812,0.0169,-0.1811,-0.1041
27.8670,6.1651,44.3040,4.8638,-0.1594,-0.0405,-0.0567
