time,r00,r01,r02,r10,r11,r12,r20,r21,r22
4.858108901977539062e+01,9.960945844650268555e-01,-4.560918547213077545e-03,8.817457407712936401e-02,2.328306436538696289e-10,9.986648559570312500e-01,5.165693908929824829e-02,-8.829245716333389282e-02,-5.145519971847534180e-02,9.947646856307983398e-01
4.858171081542968750e+01,9.961064457893371582e-01,-4.543420858681201935e-03,8.804245293140411377e-02,2.328306436538696289e-10,9.986712336540222168e-01,5.153631046414375305e-02,-8.815960586071014404e-02,-5.133564397692680359e-02,9.947827458381652832e-01
4.858231735229492188e+01,9.961177706718444824e-01,-4.526577424257993698e-03,8.791503310203552246e-02,0.000000000000000000e+00,9.986771941184997559e-01,5.141998454928398132e-02,-8.803148567676544189e-02,-5.122035369277000427e-02,9.948000311851501465e-01
4.858306121826171875e+01,9.961317181587219238e-01,-4.505987279117107391e-03,8.775894343852996826e-02,-2.328306436538696289e-10,9.986845850944519043e-01,5.127750709652900696e-02,-8.787454664707183838e-02,-5.107914283871650696e-02,9.948212504386901855e-01
4.858366394042968750e+01,9.961429834365844727e-01,-4.489460028707981110e-03,8.763339370489120483e-02,0.000000000000000000e+00,9.986906647682189941e-01,5.116292834281921387e-02,-8.774831146001815796e-02,-5.096557736396789551e-02,9.948383569717407227e-01
4.858428192138671875e+01,9.961540102958679199e-01,-4.472693428397178650e-03,8.750578761100769043e-02,-2.328306436538696289e-10,9.986963272094726562e-01,5.104647576808929443e-02,-8.762001991271972656e-02,-5.085015296936035156e-02,9.948552846908569336e-01
4.858489990234375000e+01,9.961652755737304688e-01,-4.456019029021263123e-03,8.737864345312118530e-02,2.328306436538696289e-10,9.987022280693054199e-01,5.093047395348548889e-02,-8.749219030141830444e-02,-5.073516443371772766e-02,9.948724508285522461e-01
4.858550643920898438e+01,9.961763024330139160e-01,-4.439730662852525711e-03,8.725422620773315430e-02,0.000000000000000000e+00,9.987081289291381836e-01,5.081696063280105591e-02,-8.736710250377655029e-02,-5.062264949083328247e-02,9.948891997337341309e-01
4.858612060546875000e+01,9.961874485015869141e-01,-4.423342179507017136e-03,8.712881803512573242e-02,0.000000000000000000e+00,9.987139701843261719e-01,5.070255696773529053e-02,-8.724102377891540527e-02,-5.050923675298690796e-02,9.949061274528503418e-01
4.862437820434570312e+01,9.970932006835937500e-01,-2.744568511843681335e-03,7.613880187273025513e-02,1.164153218269348145e-10,9.993506669998168945e-01,3.602350503206253052e-02,-7.618825882673263550e-02,-3.591880202293395996e-02,9.964460134506225586e-01
4.866269302368164062e+01,9.974067211151123047e-01,-2.026923466473817825e-03,7.194576412439346313e-02,-1.164153218269348145e-10,9.996035695075988770e-01,2.816176600754261017e-02,-7.197431474924087524e-02,-2.808872796595096588e-02,9.970111250877380371e-01
4.867694854736328125e+01,9.974448680877685547e-01,-1.767718582414090633e-03,7.142382115125656128e-02,0.000000000000000000e+00,9.996942281723022461e-01,2.474213205277919769e-02,-7.144569605588912964e-02,-2.467890270054340363e-02,9.971395134925842285e-01
4.869235610961914062e+01,9.973510503768920898e-01,-1.410332042723894119e-03,7.271982729434967041e-02,-5.820766091346740723e-11,9.998116493225097656e-01,1.939040049910545349e-02,-7.273350656032562256e-02,-1.933904364705085754e-02,9.971635341644287109e-01
4.874118041992187500e+01,9.969390034675598145e-01,-1.280542928725481033e-03,7.817076891660690308e-02,8.731149137020111084e-10,9.998657107353210449e-01,1.637914218008518219e-02,-7.818125933408737183e-02,-1.632900722324848175e-02,9.968052506446838379e-01
4.877965164184570312e+01,9.969633817672729492e-01,-1.677656779065728188e-03,7.785621285438537598e-02,-4.074536263942718506e-10,9.997680783271789551e-01,2.154314890503883362e-02,-7.787428796291351318e-02,-2.147772535681724548e-02,9.967319965362548828e-01
4.879380416870117188e+01,9.970156550407409668e-01,-1.573744579218327999e-03,7.718404382467269897e-02,0.000000000000000000e+00,9.997922182083129883e-01,2.038526907563209534e-02,-7.720009237527847290e-02,-2.032443135976791382e-02,9.968084692955017090e-01
