time (s),v_world_x,v_world_y,v_world_z,pos_world_x,pos_world_y,pos_world_z
30.448402,0.000163,-0.000285,0.0,0.0,0.0,0.0
30.48668,0.032411740069763446,-0.03238961705584984,0.0,0.0006234479501951743,-0.0006253594958318817,0.0
30.516312,0.1259150944416458,-0.04191022864687443,0.0,0.002969218330316169,-0.0017261860097634236,0.0
30.554628,0.13084543210127997,-0.0652425114226698,0.0,0.007888236497825772,-0.003779018204015848,0.0
30.592913,0.06601993436145186,-0.26294030016940834,0.0,0.011656731775338453,-0.010061257674916932,0.0
30.636218,0.17584770532512303,-0.08755280661539024,0.0,0.016893770843652033,-0.017650309669574808,0.0
30.674608,0.19837000708976482,-0.36145886316498904,0.0,0.02407687983345575,-0.02626908867100912,0.0
30.712912,0.1323012349549029,-0.09854846171263257,0.0,0.030409895461095245,-0.035079148957065355,0.0
30.742592,0.25691176719333597,-0.042537230160594616,0.0,0.03618581641297492,-0.037172860624463976,0.0
30.780906,0.3355643493497135,-0.26630522347040875,0.0,0.04753588137759109,-0.04308935550867361,0.0
30.819215,0.37308097707867627,0.0,0.0,0.06110962828266303,-0.048190298911637314,0.0
30.848892,0.3520606073447955,0.08740330356945222,0.0,0.07186964168313054,-0.04689336499162202,0.0
30.887224,0.3071037945436679,0.06778215392347142,0.0,0.08450318660972499,-0.04391908051331261,0.0
30.925496,0.3764654672491551,-2.1913438104093076e-11,0.0,0.09758396800339217,-0.04262200121625242,0.0
30.955173,0.3534149393208114,-0.08781068759029122,0.0,0.10841429841628043,-0.04392498010438609,0.0
31.007317,0.4280438462897083,-0.12542543977243956,0.0,0.12878849187471866,-0.04948447241698742,0.0
31.04565,0.377556796206602,-0.034167833615382316,0.0,0.14422903658912337,-0.052543316891374946,0.0
31.075337,0.40105497513985633,-7.00454693287611e-11,0.0,0.15578636041710556,-0.05305048713068464,0.0
31.113652,0.5945800543695688,-6.57611817587167e-10,0.0,0.174860238494931,-0.05305048714462473,0.0
31.151959,0.5668500118808747,2.1447287872433663e-10,0.0,0.1971056892688607,-0.05305048715311239,0.0
31.181596,0.506032204217255,-1.1782092042267322e-10,0.0,0.2130041943881095,-0.053050487151680155,0.0
31.219912,0.6394187713259458,3.2566698791924863e-10,0.0,0.23494874417756717,-0.05305048714769824,0.0
31.258208,0.6032357126924591,-0.07058734166509023,0.0,0.258743092237551,-0.054402093559665486,0.0
31.287841,0.7350042607292204,-0.09140085583953385,0.0,0.2785711248037536,-0.05680219168799279,0.0
31.32615,0.5366031406069244,-0.07119181093162193,0.0,0.30292812877264563,-0.05991657292366074,0.0
31.364436,0.5044837633137617,-0.07174081462866068,0.0,0.32285765537440086,-0.06265273217476144,0.0
31.394082,0.7473672194912434,-0.18605121743679046,0.0,0.3414138424925192,-0.06647398346606757,0.0
31.432416,0.5433922986737816,-0.25231295140864224,0.0,0.3661538301771876,-0.07487610949032776,0.0
31.470701,0.6181105658077393,-0.28943599119901653,0.0,0.38838789876052415,-0.08524653862419442,0.0
31.500325,0.7507304984534411,-0.09346412848680641,0.0,0.408663172604362,-0.09091805519698118,0.0
31.538662,0.541154786163465,-0.07184769625043252,0.0,0.43342667568254023,-0.09408683490945682,0.0
31.57696,0.7546516759637608,-0.10731586118382805,0.0,0.45824007362581515,-0.09751763787076557,0.0
31.606602,0.927692869707942,1.0800838936120271e-10,0.0,0.4831741021372147,-0.09910816624777025,0.0
31.644925,0.7202618371311054,-0.14361164260975437,0.0,0.5147513862523126,-0.10185998073556758,0.0
31.683227,0.6513252983490787,-0.36059671434969603,0.0,0.5410186514838923,-0.11151607497969752,0.0
31.712875,0.983094964089159,-0.3734547175550771,0.0,0.565247297454278,-0.1223976534062545,0.0
31.751187,0.9424887721395492,0.0,0.0,0.6021337795054764,-0.12955155197573978,0.0
31.789472,0.8353724915513708,0.14517961259887546,0.0,0.6361664887456784,-0.12677245124156591,0.0
31.819008,0.9424319874962196,0.3297116338024525,0.0,0.6624211052922534,-0.11975925731471104,0.0
31.871578,0.8769567106133628,0.2656257123475075,0.0,0.7102437372220631,-0.10411081517115954,0.0
31.909898,1.023521987782545,0.10963038895817637,0.0,0.7466569090833276,-0.09692090827014287,0.0
31.939559,0.7093064408088041,0.04727372482576142,0.0,0.7723556210935523,-0.09459394181067012,0.0
31.993306,0.7835119123270028,0.0522194617385452,0.0,0.8124728751065484,-0.09192021166153416,0.0
32.031672,0.8053626097917217,-0.07317952103333152,0.0,0.8429522550643518,-0.09232228847898605,0.0
32.061335,0.9017175322511025,-0.2845260505684018,0.0,0.8682708141910593,-0.09762759866419704,0.0
32.099668,0.6645969939025366,-0.22129606123632978,0.0,0.8982915815565843,-0.10732243817010281,0.0
32.137991,0.816958781705237,-0.33359889950184013,0.0,0.9266804125508914,-0.1179550579602868,0.0
32.167632,0.9612789755983521,-0.23992079979253897,0.0,0.9530347852330074,-0.1264549066636786,0.0
32.205949,0.8532946793271676,-0.07409843982172012,0.0,0.9877992946008973,-0.13247104426582826,0.0
32.244236,0.7780297069666223,-0.036996657980408285,0.0,1.0190285529899157,-0.13459779327060353,0.0
32.273878,1.1518998549966946,-0.0958397588553594,0.0,1.0476320390277765,-0.13656656180452661,0.0
32.312229,1.087584307070669,0.11243195301276966,0.0,1.0905752675774978,-0.1362483981854612,0.0
32.350535,0.7588511393241738,-0.07586938598786425,0.0,1.125940045682297,-0.1355481153392332,0.0
32.380212,0.833798783273663,-0.5392812892986371,0.0,1.1495725815587645,-0.1446760286344718,0.0
