time,height
106.288702,961.579000
106.395574,968.582000
106.502351,966.650000
106.609177,967.858000
106.715865,962.545000
106.830501,959.406000
106.952729,954.576000
107.059506,950.954000
107.166324,951.195000
107.288905,949.988000
107.395637,959.647000
107.514332,966.892000
107.621151,966.892000
107.743981,969.307000
107.850662,960.372000
107.957469,953.127000
108.082499,943.710000
108.189224,942.985000
108.296039,940.329000
108.414475,928.255000
108.521248,923.667000
108.628039,928.255000
108.734727,936.707000
108.841537,935.499000
108.948309,940.570000
109.059942,943.468000
109.191241,953.610000
109.307946,969.790000
109.414626,974.136000
109.521459,972.204000
109.638832,988.867000
109.758049,988.142000
109.878594,985.003000
109.985454,977.517000
110.092241,966.409000
110.199075,964.718000
110.305841,970.031000
110.430058,973.412000
110.536895,969.790000
110.643623,958.198000
110.750416,957.232000
110.871114,953.127000
110.978041,950.471000
111.099144,948.539000
111.206044,933.567000
111.312792,929.945000
111.419634,926.564000
111.537754,942.019000
111.644625,943.710000
111.786010,948.298000
111.892930,945.158000
111.999584,944.192000
112.114832,947.332000
112.221644,950.230000
112.328336,948.539000
112.459823,944.192000
112.582887,951.195000
112.693165,941.778000
112.811446,943.710000
112.918193,946.366000
113.024938,946.366000
113.131609,950.471000
113.238396,954.335000
113.357050,957.957000
113.463887,954.576000
113.570661,945.400000
113.689561,942.744000
113.796374,944.434000
113.903023,952.886000
114.022273,970.755000
114.129151,968.099000
114.235968,969.790000
114.344942,973.170000
114.451650,969.548000
114.575815,970.514000
114.682679,966.650000
114.803390,970.272000
114.910145,986.210000
115.016972,997.077000
115.123733,1016.637000
115.244608,1010.841000
115.365772,1015.188000
115.474748,1007.461000
115.582882,1009.392000
115.689697,1010.600000
115.817195,998.526000
115.939831,990.315000
116.046566,984.278000
116.160977,984.761000
116.267722,987.901000
116.374553,993.213000
116.505145,991.764000
116.628271,988.867000
116.738511,989.108000
116.845211,986.452000
116.952040,987.659000
117.068505,979.932000
117.187025,976.310000
117.305675,987.901000
117.412576,985.003000
117.519440,988.142000
117.630592,981.139000
117.737335,976.068000
117.856328,973.653000
117.963239,973.895000
118.069979,973.170000
118.176844,962.545000
118.301786,946.366000
118.408489,938.155000
118.528913,940.570000
118.636232,952.644000
118.743065,960.855000
118.849790,967.858000
118.966518,966.167000
119.073381,965.926000
119.194036,967.858000
119.330352,963.994000
119.437054,959.647000
119.543908,955.059000
119.650552,955.784000
119.757293,951.920000
119.873211,965.684000
119.980013,956.508000
120.102367,947.332000
120.224999,938.155000
120.331841,935.982000
120.450348,932.843000
120.557178,933.809000
120.663852,934.775000
120.811186,937.431000
120.917967,936.948000
121.030743,947.332000
121.137613,949.022000
121.244434,950.230000
121.362238,949.022000
121.492471,945.883000
121.599367,951.678000
121.706158,949.505000
121.812972,941.053000
121.919693,937.190000
122.026569,919.561000
122.145513,917.630000
122.252233,915.215000
122.359042,903.382000
122.465775,899.035000
122.572575,893.964000
122.694495,893.964000
122.814867,895.172000
122.928589,893.240000
123.035454,890.584000
123.142235,888.652000
123.258915,894.689000
123.379614,898.794000
123.500558,896.379000
123.607294,905.314000
123.714104,903.382000
123.820853,905.314000
123.932756,896.621000
124.053749,895.413000
124.160484,892.274000
124.267342,891.067000
124.389710,898.794000
124.512447,914.490000
124.619166,921.976000
124.741985,911.592000
124.848801,911.834000
124.955475,915.456000
125.062297,920.527000
125.176977,919.803000
125.283839,915.698000
125.406832,911.351000
125.532157,905.314000
125.638914,906.038000
125.757751,901.450000
125.864597,898.311000
125.982118,889.859000
126.101173,893.240000
126.208059,898.794000
126.314840,902.416000
126.433891,891.791000
126.540881,885.513000
126.647645,871.265000
126.768095,870.299000
126.874896,878.510000
126.981629,871.748000
127.088436,873.197000
127.195136,869.575000
127.302601,877.302000
127.423306,874.404000
127.530155,873.438000
127.636965,869.575000
127.758181,870.541000
127.865053,873.197000
127.971803,876.095000
128.092932,869.575000
128.211027,857.501000
128.317937,853.878000
128.424683,857.501000
128.548585,856.052000
128.671353,850.256000
128.778188,849.049000
128.884861,871.024000
128.991682,880.441000
129.098369,888.169000
129.205168,877.302000
129.339585,868.609000
129.462658,864.504000
129.569463,864.021000
129.676287,858.467000
129.783031,849.773000
129.889861,837.941000
130.008375,836.733000
130.115074,846.634000
130.221890,851.222000
130.328649,856.776000
130.438908,855.086000
130.545526,862.089000
130.676191,862.572000
130.783073,858.467000
130.899263,851.222000
131.017382,843.253000
131.138412,838.665000
131.245361,842.287000
131.365778,857.018000
131.472510,861.364000
131.579308,868.609000
131.685971,877.785000
131.792831,869.816000
131.899592,866.677000
132.020360,863.296000
132.141423,860.398000
132.270671,866.194000
132.377487,868.126000
132.484259,870.782000
132.591069,872.231000
132.713413,863.538000
132.820092,848.566000
132.926908,836.975000
133.033641,837.216000
133.140486,841.321000
133.247233,834.560000
133.369977,837.216000
133.493059,845.185000
133.623650,858.225000
133.740356,865.470000
133.847167,860.640000
133.953860,854.603000
134.072390,854.120000
134.179107,858.225000
134.285968,872.473000
134.408275,885.271000
134.514931,883.581000
134.630642,875.129000
134.749644,885.995000
134.856374,890.825000
134.963211,891.550000
135.069954,875.853000
135.176839,875.370000
135.299595,878.751000
135.420051,878.510000
135.526777,879.234000
135.639218,869.092000
135.745941,866.435000
135.852844,867.401000
135.997313,876.336000
136.104153,872.714000
136.216533,867.884000
136.323239,870.058000
136.430057,877.302000
136.546707,876.819000
136.667822,871.507000
136.790285,867.401000
136.897148,881.649000
137.003886,894.930000
137.118811,901.450000
137.225638,894.447000
137.348298,879.475000
137.455147,870.058000
137.561889,865.228000
137.668773,864.987000
137.791666,847.600000
137.898418,845.668000
138.021576,848.566000
138.128423,860.640000
138.235185,869.333000
138.342064,872.955000
138.460719,871.024000
138.567568,863.296000
138.686516,865.711000
138.793302,865.470000
138.900038,865.228000
139.006855,862.330000
139.125748,849.049000
139.232622,843.495000
139.351763,850.015000
139.458418,847.117000
139.565234,850.256000
139.682130,844.219000
139.788832,845.910000
139.895637,848.566000
140.030051,857.984000
140.136849,855.810000
140.243684,854.361000
140.353366,848.083000
140.460075,847.600000
140.566851,853.154000
140.687591,857.018000
140.794304,856.293000
140.901117,855.327000
141.028162,845.668000
141.134967,845.185000
141.249496,850.498000
141.371815,853.637000
141.478531,860.157000
141.613011,864.021000
141.719750,862.330000
141.827130,865.711000
141.933881,871.024000
142.040724,874.887000
142.163624,879.475000
142.270387,885.754000
142.377046,884.064000
142.487396,895.655000
142.610657,901.450000
142.729166,899.277000
142.847849,897.104000
142.954659,890.342000
143.065021,889.135000
143.172462,878.993000
143.279324,877.785000
143.395446,871.748000
143.514359,869.816000
143.633522,858.225000
143.740346,845.910000
143.847078,842.046000
143.953858,849.290000
144.060554,859.433000
144.167413,857.018000
144.287862,856.776000
144.394574,855.569000
144.501362,852.913000
144.608041,854.120000
144.730083,850.256000
144.836887,841.804000
144.957697,840.114000
145.078955,843.736000
145.185803,840.597000
145.294739,842.529000
145.401471,844.944000
145.508289,846.393000
145.630698,858.467000
145.737569,861.847000
145.844353,870.541000
145.967732,844.219000
146.074581,838.424000
146.197570,833.353000
146.304221,832.145000
146.411049,836.975000
146.517725,834.077000
146.624577,826.350000
146.754791,827.557000
146.862957,838.424000
146.981316,845.910000
147.088266,849.049000
147.195159,840.114000
147.313875,834.801000
147.420709,831.179000
147.527396,844.219000
147.634265,853.637000
147.741071,855.810000
147.860088,846.875000
147.966880,831.179000
148.073591,829.489000
148.194773,845.185000
148.301615,849.532000
148.422019,849.532000
148.528875,835.043000
148.646147,835.526000
148.775241,844.219000
148.882206,848.807000
148.989082,853.637000
149.110035,840.838000
149.226235,840.355000
149.340007,839.148000
149.460983,838.907000
149.567911,843.253000
149.690264,847.358000
149.796961,852.430000
149.903760,855.810000
150.010467,862.813000
150.117262,860.398000
150.239847,861.364000
150.346567,862.330000
150.453359,859.433000
150.560060,865.228000
150.666856,870.058000
150.789666,862.089000
150.912679,849.773000
151.019537,856.052000
151.134106,865.470000
151.240880,888.169000
151.359460,886.237000
151.466377,881.649000
151.597191,876.336000
151.704021,887.686000
151.823996,894.930000
151.930731,889.859000
152.046380,885.030000
152.153187,878.510000
152.259935,877.785000
152.404875,878.027000
152.511571,875.370000
152.626321,871.265000
152.733127,861.847000
152.839814,865.711000
152.946632,873.921000
153.055505,900.001000
153.176467,905.314000
153.299738,892.033000
153.406576,881.649000
153.513354,879.717000
153.622247,874.887000
153.744678,876.336000
153.851469,870.541000
153.964018,855.569000
154.070795,852.430000
154.177621,850.498000
154.300245,856.052000
154.423097,856.293000
