time,vx,vy,vz,px,py,pz
18.140253,0.21762998489887106,-0.13946173151499575,0.0068793446982722125,0.0,0.0,0.0
18.140879,0.21646903441830828,-0.13909108061365058,0.006877453245108306,0.00013550961554596047,-8.707101646420918e-05,4.30528573144096e-06
18.141505,0.21532223291526922,-0.13874408037586125,0.006911770119862997,0.00027030133335025297,-0.00017392481077906915,8.632053826453817e-06
18.142132,0.21418041235983665,-0.13840460740367871,0.0069397524133775305,0.00040459245190018915,-0.0002607044996213816,1.2983278589651852e-05
18.142758,0.2130213376536574,-0.13808890306897492,0.0069603710550350945,0.0005379438092714766,-0.00034714815294262333,1.7340470870107018e-05
18.143383,0.21187576885835324,-0.13778788149462923,0.007010182342376344,0.0006703661648078269,-0.0004332655788766883,2.172183483408825e-05
18.14401,0.21072915891724425,-0.13750438955481836,0.0070771362745704735,0.0008024933474492526,-0.000519480831127764,2.6159199278254466e-05
18.144636,0.20958756101651915,-0.137254668360107,0.007129754533207835,0.0009336951606449453,-0.0006054022535207663,3.0622425616020515e-05
18.145262,0.2084294827781687,-0.1370018439121198,0.007205973307390407,0.0010641720168641747,-0.0006911654078098163,3.513336490645022e-05
18.145889,0.20727566457878846,-0.13677405032202336,0.0072900946145382055,0.0011941338585553835,-0.0007769227373619283,3.970425422977652e-05
18.146514,0.20612931324900421,-0.13655890748308577,0.007378327251479376,0.001322964679335894,-0.0008622720545387793,4.431570876194693e-05
18.147141,0.2049616801493449,-0.13636850024403832,0.007474231368987396,0.001451475652789838,-0.0009477751041919941,4.900205183031314e-05
18.147767,0.20378235370652473,-0.13618291960441015,0.007594240867030264,0.001579043406210216,-0.0010330256118644173,5.375604661307758e-05
18.148392,0.20262120813137818,-0.13601923514565759,0.007738615379655646,0.0017056816612922123,-0.001118037633830376,5.859268122535796e-05
18.149019,0.20145081487700053,-0.13588760066051309,0.007895966817593912,0.0018319913222196757,-0.0012032391594442372,6.354345241997304e-05
18.150728,0.19864739367495257,-0.13597776733159808,0.008675735083897986,0.002171479718010515,-0.0014356251638141745,7.837028367836977e-05
18.151355,0.19752788068283042,-0.13594123730762298,0.008947398601056887,0.0022953296991982414,-0.0015208603196057735,8.398030260121396e-05
18.151982,0.1964092878668512,-0.13591077909335753,0.009260472399339633,0.002418478322691049,-0.0016060763780975109,8.978661879561369e-05
18.152607,0.19530181277255196,-0.1358784878632624,0.009594731757132241,0.002540541955673783,-0.0016910004330119726,9.57833261438159e-05
18.153233,0.19415347981494413,-0.13588350150882442,0.009928227472733649,0.0026620820340380272,-0.0017760635049565592,0.00010199839654175173
18.153858,0.19299206810505867,-0.13590587373570567,0.010289968855851529,0.002782702076603579,-0.0018610046760412981,0.00010842962707665308
18.154483,0.19182464549026504,-0.1359396802661835,0.010662543643927649,0.002902592480034886,-0.0019459669762075856,0.0001150937168541018
18.155108,0.1906522451425746,-0.136013862647756,0.011057848290759814,0.0030217501332488864,-0.002030975640362356,0.00012200487203582039
18.155734,0.1894592356062066,-0.13612184344162212,0.011481565873684211,0.003140351614738459,-0.002116187914356874,0.000129192332272752
18.156359,0.1882653048687304,-0.1362700123236962,0.011927242443068913,0.003258017430281308,-0.0022013566720591065,0.00013664685879966328
18.156984,0.18704879447619693,-0.1364101349512562,0.012397820342927787,0.0033749229268294893,-0.0022866130064040486,0.00014439549651403016
18.157609,0.18582336573869504,-0.13658828020128072,0.012867487148535212,0.003491062530416068,-0.0023719806815297715,0.00015243767598185735
18.171104,0.1658727857323539,-0.1503659853745658,0.03835515280508277,0.005729515773874006,-0.004401169654159376,0.0006700404630864081
18.171803,0.1647235940245214,-0.15095966298106234,0.0396459174523129,0.005844657566097294,-0.004506690458583274,0.0006977529593856102
18.172429,0.163715975712061,-0.15146595897287335,0.040837482488116805,0.005947143766893119,-0.004601508148900362,0.0007233172234231901
18.173054,0.16276805852653503,-0.15195690312156468,0.04206053658098265,0.006048873803472111,-0.004696481213351254,0.0007496050587862804
18.17368,0.1618244393734108,-0.1524369233096905,0.04331109313909877,0.00615017590251994,-0.00479190672734319,0.0007767178030913762
18.174305,0.1609447329983077,-0.1529120664905693,0.04459581509151885,0.0062507663606437905,-0.0048874767688997095,0.0008045901875235501
18.17493,0.16008999009151775,-0.15339076441795665,0.04591412068499114,0.006350822604450898,-0.004983345996660845,0.0008332865129516434
18.175556,0.15928062723622036,-0.15383790273485903,0.04728389891373495,0.006450532277100845,-0.005079648523772937,0.0008628862336716633
18.176182,0.1585135810928256,-0.15427011728002232,0.04868152958617383,0.006549761778865027,-0.005176221617190302,0.0008933608711926305
18.176809,0.15778079400844514,-0.1547003169432149,0.0501046448868072,0.006648690336707996,-0.005273218715913379,0.0009247764835365551
18.177435,0.1571063979930574,-0.15510901957138315,0.051534224617778825,0.006747038941851722,-0.005370316962165136,0.0009570369081473083
18.178062,0.15648991819153898,-0.15549220724754828,0.0530063996355992,0.006845158120558049,-0.00546781057610958,0.0009902719207189078
18.178689,0.15591013601041492,-0.15588973407998047,0.054500977889322996,0.006942913775836257,-0.005565553439377406,0.0010244440338554007
18.179314,0.1553697293364635,-0.1562620171528443,0.05600002860762102,0.007040019856672011,-0.0056632172000983996,0.001059444051735331
18.179941,0.15489494586126268,-0.1566425525301984,0.05749326834177161,0.007137138987726703,-0.005761432080534511,0.001095492330985503
18.180566,0.15444620837426312,-0.1570064130942236,0.05900966848203862,0.00723366786796053,-0.0058595610887183115,0.0011323733737867436
18.181193,0.15402188332359892,-0.1573945307873236,0.06053618823166682,0.007330239588804656,-0.005958247459522197,0.0011703295638080889
